"gene","statistic","p.value","p_adj"
"H4C12",0.530519142533471,3.4741983589631e-15,4.10659041468322e-13
"EVL",0.528890288548597,4.36581252644525e-15,5.12804495244601e-13
"DLGAP3",0.528542123196298,4.58355282574583e-15,5.35015203585182e-13
"NGEF",0.528330424665503,4.72109396304604e-15,5.4764689971334e-13
"JPH4",0.528279687001098,4.75465234403919e-15,5.48135106032568e-13
"GABBR2",0.525489115458804,7.00675947928479e-15,7.93080242637107e-13
"MAPK10",0.52432564832675,8.22758040842852e-15,9.25652359685609e-13
"FAM171A2",0.523697551032905,8.9705409134517e-15,9.93473012659372e-13
"GRIN1",0.523681804861193,8.98998389052441e-15,9.93473012659372e-13
"L1CAM",0.52361707059971,9.07034920067869e-15,9.96457892187501e-13
"ATP6V1H",0.522441356445214,1.06580979234351e-14,1.15727114429113e-12
"OAZ1",0.520871987997918,1.32060008809389e-14,1.42285973372904e-12
"NSMF",0.520843994803763,1.32564571465439e-14,1.42285973372904e-12
"TSPYL1",0.52020540006211,1.44599615055854e-14,1.54316709187607e-12
"RTN3",0.519984953658142,1.48996730467413e-14,1.58105848761898e-12
"ATP2B1",0.519409343603336,1.61102382406019e-14,1.69985768012136e-12
"SIRPA",0.519022687609075,1.69767568446851e-14,1.78122421815359e-12
"TUBB2A",0.516576782269811,2.36112024015913e-14,2.44979342251177e-12
"CNKSR2",0.516314346074611,2.44580403900826e-14,2.52363736091262e-12
"MDH1",0.514993417225437,2.91910879457149e-14,2.99025085129698e-12
"FXYD6",0.514965424031282,2.93004875662533e-14,2.99025085129698e-12
"SCG5",0.514744977627314,3.01760996617217e-14,3.06287411566475e-12
"SYNGR3",0.513901682653405,3.37674487970561e-14,3.40886958775038e-12
"GABARAPL1",0.513695232846514,3.47082913251124e-14,3.48501101498816e-12
"SUB1",0.513025145761437,3.79416222996333e-14,3.78929271694092e-12
"SYNPR",0.512461782729074,4.08857633159916e-14,4.06160912600776e-12
"MAP6",0.511536257747335,4.62129270839073e-14,4.56652183184684e-12
"PTPRN",0.510789189378332,5.10013302890697e-14,5.01316233936139e-12
"GRIA2",0.510687714049522,5.16879704488878e-14,5.05405516284518e-12
"PTPRU",0.509860165247324,5.76345275316485e-14,5.60615852177639e-12
"CACYBP",0.508551483420593,6.84245179704973e-14,6.55331434675388e-12
"CBX7",0.506980365398662,8.3997618206518e-14,8.00377304910679e-12
"MLLT11",0.506835150703985,8.56002656283639e-14,8.11507898921484e-12
"PFN2",0.505381254182577,1.03381178112386e-13,9.75124688094403e-12
"KIF3C",0.504810892851675,1.11298878627515e-13,1.04453158655652e-11
"MT3",0.50378914126503,1.26985905156935e-13,1.18579438235546e-11
"GNG2",0.502291505377755,1.53938665574794e-13,1.43032762103226e-11
"EFHD2",0.501334488052592,1.74000918340803e-13,1.60510958133534e-11
"BEX2",0.501313493156976,1.74468432753842e-13,1.60510958133534e-11
"NRSN1",0.499654896403312,2.15538990184599e-13,1.97323832386645e-11
"PTPRN2",0.499065289751429,2.32296864405309e-13,2.11628109250417e-11
"KNDC1",0.498981310168965,2.34784729365582e-13,2.12856291535515e-11
"PRKCB",0.498858839944538,2.38459461109081e-13,2.15143424911748e-11
"SPTBN4",0.49837945649464,2.5338998752368e-13,2.27514971490012e-11
"CDH2",0.498304224785349,2.5581431428665e-13,2.28592733665908e-11
"KIF1B",0.497821342186181,2.7192191058825e-13,2.41829219149817e-11
"SNRPD2",0.497413691296304,2.86285609211635e-13,2.53396684248175e-11
"DTNA",0.495135745121967,3.81220755567835e-13,3.35833907121928e-11
"GRIA1",0.493932037773316,4.43127315227192e-13,3.88537358647091e-11
"SRI",0.493762329033754,4.52607600247625e-13,3.94995305711432e-11
"PRRT2",0.493463151771226,4.69803535685351e-13,4.08095387556262e-11
"MOAP1",0.49162784797946,5.90088735546227e-13,5.1020820486395e-11
"DLGAP1",0.491486132434052,6.00533591103394e-13,5.16846329375437e-11
"SOD1",0.489699816732057,7.48663286568785e-13,6.41377777062323e-11
"CLSTN1",0.489631583321305,7.54975655312095e-13,6.43832207242406e-11
"ATP6V1A",0.48926592222266,7.89696497639741e-13,6.70380535905445e-11
"ARF3",0.488755046429337,8.40820954407206e-13,7.08413707215864e-11
"SNCA",0.488742799406894,8.42085259166427e-13,7.08413707215864e-11
"MRTFB",0.488321151919939,8.86760259445031e-13,7.426517760267e-11
"PLEKHM2",0.488223175740398,8.97466934652228e-13,7.48263056766295e-11
"WSB2",0.487826022298329,9.42170823428929e-13,7.8204365770483e-11
"KCNQ2",0.487108696698115,1.028468736642e-12,8.47238029858423e-11
"YWHAH",0.487098199250307,1.02978706777609e-12,8.47238029858423e-11
"LRP3",0.486879502420974,1.0576294119195e-12,8.66328372675814e-11
"OTUB1",0.486629313248216,1.09038010824301e-12,8.89254973866656e-11
"CHGB",0.485700289117208,1.22085523885437e-12,9.91334453949749e-11
"PPP6R1",0.485201660346328,1.29702674278264e-12,1.04862646961942e-10
"AGAP3",0.484883237762819,1.34806876977021e-12,1.08519535966502e-10
"NSF",0.484512327940269,1.40999148664165e-12,1.13017171693216e-10
"NAP1L2",0.484225397700184,1.45978446739262e-12,1.16508268004378e-10
"CACNB3",0.484171160886509,1.4693869696112e-12,1.16775621465782e-10
"ID2",0.484080183005507,1.48563259777357e-12,1.17566416932285e-10
"ZBTB7A",0.484022447042563,1.49603284097438e-12,1.17889912818723e-10
"CAMK1D",0.482493318811864,1.7987725924151e-12,1.41150743428338e-10
"H4C4",0.481629028942338,1.99543786535758e-12,1.55928023319741e-10
"ISCU",0.481564294680856,2.01098213192992e-12,1.56487926233013e-10
"KLC1",0.480901205894317,2.17714450564564e-12,1.68715148495593e-10
"UBXN6",0.480813727162584,2.20003914607001e-12,1.69784839223155e-10
"CELF2",0.479714994292013,2.50831908715475e-12,1.92779289183959e-10
"EEF1A2",0.478920687407874,2.75695175814764e-12,2.11019799324448e-10
"IQSEC1",0.478878697616642,2.77074194243998e-12,2.11209700069425e-10
"CKB",0.478691493130733,2.83304391564278e-12,2.15081008815222e-10
"CPLX2",0.478248850748162,2.98582522555324e-12,2.25762234463289e-10
"PNCK",0.476703976345751,3.58444329972337e-12,2.69931705909813e-10
"FBXL17",0.475682224759105,4.04286513308156e-12,3.03231121387274e-10
"ENO2",0.474803938292503,4.48208095785831e-12,3.34829375875847e-10
"HSPH1",0.473500505189676,5.22055843266197e-12,3.86901386065059e-10
"SULT4A1",0.472470005729857,5.88690035192898e-12,4.34560280524212e-10
"DDAH1",0.47242976551326,5.91453136768277e-12,4.34881054420643e-10
"TESPA1",0.472200571236118,6.07432848658543e-12,4.44879054178312e-10
"ALDOC",0.472044859093633,6.18527899379631e-12,4.51235431594297e-10
"ACTN1",0.471936385466283,6.2637319705768e-12,4.55180771527207e-10
"SCAMP5",0.471656453524737,6.47068708695541e-12,4.6658900399992e-10
"AQP4",0.471262799231937,6.77300036342685e-12,4.8650982610523e-10
"APLP2",0.471049351126507,6.94261642042443e-12,4.96782774972593e-10
"GUK1",0.470918133028907,7.04893030427194e-12,5.02464970849553e-10
"NPDC1",0.470729178968363,7.20480700822673e-12,5.11623481694458e-10
"FXYD1",0.470652197684438,7.26926837193236e-12,5.14245667099275e-10
"SATB1",0.468661181750187,9.14546442287578e-12,6.44530919100483e-10
"ARRB1",0.46812231276271,9.72933627942247e-12,6.83101820881557e-10
"KCNC1",0.467959602321685,9.91264574228186e-12,6.93365437763506e-10
"BRD4",0.467758401238699,1.01439636359012e-11,7.0689800322422e-10
"TSPYL4",0.467516959939115,1.04284744480616e-11,7.21341439970365e-10
"STX1A",0.467301762259051,1.06885843102607e-11,7.36605168186087e-10
"ARF1",0.467189789482432,1.08264084284765e-11,7.43360308125836e-10
"COX6B1",0.467102310750699,1.09352835508321e-11,7.48085551631285e-10
"SORBS1",0.46685911987648,1.12435760431555e-11,7.66368708693327e-10
"SYNGR1",0.466248518328981,1.20553238377314e-11,8.18709919976262e-10
"PDXK",0.466015824902571,1.23794219763638e-11,8.37674220400614e-10
"SNAP91",0.465804126371776,1.26816211319045e-11,8.52289060282737e-10
"C1QTNF4",0.465800627222506,1.26866758812701e-11,8.52289060282737e-10
"KHDRBS3",0.465627419333674,1.29393474060683e-11,8.66147857189003e-10
"PRKCA",0.465447213146304,1.32074155290616e-11,8.8093461578841e-10
"FAIM2",0.464857606494421,1.41227356012328e-11,9.3200074236263e-10
"SEMA6B",0.464264500693269,1.51055473865557e-11,9.93349306307442e-10
"LMTK2",0.46417877153617,1.52529912854388e-11,9.99525842971423e-10
"MAP2K1",0.463907587467797,1.57286595919543e-11,1.02709247041727e-09
"CNRIP1",0.463694139362367,1.61131607010425e-11,1.04853445732638e-09
"CRTC1",0.463450948488149,1.65623709924975e-11,1.07030740711379e-09
"CBLN2",0.462486932864447,1.84657742896611e-11,1.18919586425417e-09
"PRNP",0.462327721572693,1.8799921860414e-11,1.20655443527523e-09
"HOMER1",0.462093278571647,1.93026768974201e-11,1.23457806074047e-09
"ATP6V0C",0.461654135338346,2.02797707323768e-11,1.29264504504392e-09
"SGSM2",0.461153756992831,2.14517026206189e-11,1.3626938712336e-09
"FGF12",0.461071526985002,2.16504817275109e-11,1.37065897201015e-09
"SKP1",0.46102953719377,2.17526746896069e-11,1.37247619088885e-09
"PRKACA",0.460413686922367,2.33064174380942e-11,1.4635024908075e-09
"STXBP5",0.46039619117602,2.33520958588903e-11,1.4635024908075e-09
"BSG",0.460324458615999,2.35402879412248e-11,1.47036260063651e-09
"TNIK",0.46015999860034,2.39773282551749e-11,1.49266860831216e-09
"AP3M2",0.459876567509524,2.47490825874063e-11,1.53559424053953e-09
"PJA2",0.459699860471423,2.52423872346154e-11,1.561015973489e-09
"ABHD8",0.459649122807018,2.53857845375314e-11,1.56138434405192e-09
"NPTX1",0.45963862535921,2.54155515416462e-11,1.56138434405192e-09
"R3HDM1",0.459517904709417,2.57603173305953e-11,1.57737602120065e-09
"DOC2A",0.459264216387391,2.64996864470615e-11,1.61734687609582e-09
"PKIA",0.458956291251689,2.74248400914976e-11,1.66835932752055e-09
"KLC2",0.458793580810665,2.79262854837532e-11,1.69334840160576e-09
"UBE2QL1",0.458046512441663,3.03451970994173e-11,1.83406764086964e-09
"ZNF428",0.457589873462015,3.19226245195085e-11,1.92318366298820e-09
"EPN1",0.457266202154601,3.30886349373217e-11,1.98702040543222e-09
"GABRA1",0.457000266810132,3.4077497838811e-11,2.03984406935139e-09
"SLIT1",0.456344176322132,3.66413955248264e-11,2.18630895470178e-09
"FKBP8",0.456172718007934,3.73417003878968e-11,2.22099871479096e-09
"PRDX2",0.455556867736532,3.9965826693744e-11,2.36952945819798e-09
"SYN1",0.454822046389971,4.33315635201767e-11,2.56095025412285e-09
"PAK3",0.454274429529321,4.60171205832498e-11,2.70256523274457e-09
"EPHB6",0.454192199521491,4.64340826266042e-11,2.71850447377573e-09
"MCTP1",0.454062730998526,4.70980168254924e-11,2.7487580069778e-09
"KCNT1",0.453796795654057,4.84907930238777e-11,2.82122757169452e-09
"RND1",0.453642833086206,4.93153184005241e-11,2.8602884672304e-09
"ARHGDIG",0.453434633704681,5.04519687184185e-11,2.91715469902534e-09
"MAPK8IP1",0.453238681345598,5.15449540111974e-11,2.97115296639853e-09
"MADD",0.453194941979731,5.17920422139024e-11,2.97620978580566e-09
"ADD2",0.451709553114899,6.09002676142766e-11,3.47820610998235e-09
"RAB31",0.451475110113854,6.24730570777794e-11,3.55715492068478e-09
"PRDX6",0.451303651799656,6.36481813072766e-11,3.61304995165561e-09
"YWHAB",0.450965983895165,6.60254799162014e-11,3.73664200883326e-09
"PALM",0.450462106400381,6.97338621679891e-11,3.93459096631228e-09
"NAP1L3",0.450126188070525,7.23175338977628e-11,4.06807910564644e-09
"TAGLN3",0.449480595030333,7.75462313551842e-11,4.33608807421982e-09
"HIVEP2",0.449300388842963,7.90700211784232e-11,4.4080946732186e-09
"NUDT4B",0.448247144912893,8.8574201045567e-11,4.92324934144943e-09
"NRXN1",0.448213902994834,8.88915207269823e-11,4.92622564123775e-09
"ANKRD11",0.447353112274578,9.75032166908699e-11,5.38748542875351e-09
"RPL41",0.446957708407143,1.01725116805126e-10,5.58770082780156e-09
"MATR3",0.446753008174887,1.03979893858764e-10,5.69480497861078e-09
"ARHGEF11",0.446326111964029,1.08839149426951e-10,5.94350863946705e-09
"RPL31",0.445920210648786,1.13663203277677e-10,6.18884543560904e-09
"FBXO41",0.445790742125821,1.15245056886011e-10,6.25673454186962e-09
