"contrast","estimate","SE","df","asymp.LCL","asymp.UCL","z.ratio","p.value","celltype","region","weight","p_adj"
"AD_overall_vs_Control",-0.754563235372997,0.320757775542972,Inf,-1.3832369231984,-0.125889547547591,-2.35243941973251,0.0186507275310068,"ExNeuron7","Capillaries",0.433333333333333,0.0714944555355261
"Disease_effect",0.265876217155396,0.158802852728975,Inf,-0.045371654835614,0.577124089146405,1.67425340657551,0.0940808073808688,"ExNeuron8","Capillaries",0.433333333333333,0.180321547479999
"Amyloid_effect",-0.346762548053094,0.158231202383356,Inf,-0.656890005954941,-0.0366350901512476,-2.19149284610106,0.0284161468695929,"ExNeuron8","Capillaries",0.433333333333333,0.0461147587899498
"AD_overall_vs_Control",0.115612446332388,0.148367605805177,Inf,-0.175182717518196,0.406407610182972,0.779229709241244,0.435844412250995,"ExNeuron8","Capillaries",0.433333333333333,0.691270860348766
"Disease_effect",-0.613124662668362,0.378963122168513,Inf,-1.3558787335875,0.129629408250776,-1.61790059982598,0.105684021004292,"ExNeuron9","Capillaries",0.433333333333333,0.18808072348562
"Amyloid_effect",0.783246533254951,0.333774065510047,Inf,0.129061385881747,1.43743168062815,2.34663688461851,0.0189437063787081,"ExNeuron9","Capillaries",0.433333333333333,0.0348564197368229
"AD_overall_vs_Control",-0.273717831591216,0.337182084314284,Inf,-0.934582573079361,0.387146909896928,-0.811780472108615,0.416917609212671,"ExNeuron9","Capillaries",0.433333333333333,0.68493607227796
"Disease_effect",-0.901155384618759,0.238228886249741,Inf,-1.36807542174534,-0.434235347492179,-3.78272928528935,0.00015511809339009,"Fibroblast","Capillaries",0.433333333333333,0.000891929036993019
"Amyloid_effect",0.772939859936227,0.255463105947683,Inf,0.272241372900028,1.27363834697243,3.02564183218895,0.00248106010330292,"Fibroblast","Capillaries",0.433333333333333,0.00760858431679562
"AD_overall_vs_Control",-0.566214778646394,0.194098636831448,Inf,-0.946641116284351,-0.185788441008437,-2.91714969197896,0.00353246197730017,"Fibroblast","Capillaries",0.433333333333333,0.0259999797698124
"Disease_effect",-1.95184794713663,0.361574358842698,Inf,-2.66052066820148,-1.24317522607178,-5.39819237565398,6.73156670175742e-08,"InhNeuron1","Capillaries",0.433333333333333,1.03217356093614e-06
"Amyloid_effect",1.25394652962223,0.357703953019906,Inf,0.552859664575608,1.95503339466885,3.50554283517367,0.000455677170392342,"InhNeuron1","Capillaries",0.433333333333333,0.00209611498380477
"AD_overall_vs_Control",-1.40847111763366,0.308141545982109,Inf,-2.01241744989909,-0.804524785368237,-4.5708575685391,4.8573235070043e-06,"InhNeuron1","Capillaries",0.433333333333333,0.000223436881322198
"Disease_effect",-0.655063233536478,0.423590890247386,Inf,-1.48528612260061,0.175159655527656,-1.54645259994593,0.121995299186627,"InhNeuron2","Capillaries",0.433333333333333,0.207843843058698
"Amyloid_effect",0.2759736137627,0.452727318482142,Inf,-0.611355625279693,1.16330285280509,0.609580209756186,0.542139924548021,"InhNeuron2","Capillaries",0.433333333333333,0.566782648391113
"AD_overall_vs_Control",-0.535474667572642,0.376403768465229,Inf,-1.27321249740964,0.202263162264361,-1.42260708429147,0.154850089188855,"InhNeuron2","Capillaries",0.433333333333333,0.445194006417958
"Disease_effect",-0.042035459468744,0.307851558285353,Inf,-0.645413426292569,0.561342507355081,-0.136544572659855,0.891390790599128,"InhNeuron3","Capillaries",0.433333333333333,0.895392470035217
