"contrast","estimate","SE","df","asymp.LCL","asymp.UCL","z.ratio","p.value","celltype","region","p_adj"
"AD_Amyloid_vs_Control",0.028801149054642,0.0953074856421073,Inf,-0.157998090260956,0.215600388370241,0.302191888292954,0.762505787563097,"Microglia4","Arteries",0.899591138386853
"AD_Amyloid_vs_Control",-0.586604831794873,0.28186561584638,Inf,-1.13905128733398,-0.0341583762557656,-2.08115072863154,0.0374201117998928,"Microglia5","Arteries",0.344265028559013
"AD_Amyloid_vs_Control",0.129467309119315,0.410891322901613,Inf,-0.675864885327864,0.934799503566494,0.315088934477976,0.752694129936353,"Oligodendrocytes1","Arteries",0.899591138386853
"AD_Amyloid_vs_Control",-0.0626672061245176,0.0949176633089015,Inf,-0.248702407706663,0.123367995457628,-0.660227021398246,0.509108154358981,"Oligodendrocytes2","Arteries",0.841840242056211
"AD_Amyloid_vs_Control",-0.125395676243709,0.159345739502594,Inf,-0.437707586758694,0.186916234271276,-0.786940878589779,0.431316476086488,"Oligodendrocytes3","Arteries",0.841840242056211
"AD_Amyloid_vs_Control",-0.0644573354263502,0.14385134046099,Inf,-0.3464007818577,0.217486111004999,-0.448082966900332,0.654093320364892,"Oligodendrocytes4","Arteries",0.888996986252671
"AD_Amyloid_vs_Control",0.179988279874249,0.257740212599251,Inf,-0.325173254187979,0.685149813936477,0.698332161904845,0.484969490224601,"Oligodendrocytes5","Arteries",0.841840242056211
"AD_Amyloid_vs_Control",-0.033976004133881,0.100152235545487,Inf,-0.230270778774208,0.162318770506446,-0.339243592005989,0.734426232566941,"Oligodendrocytes6","Arteries",0.899591138386853
"AD_Amyloid_vs_Control",-0.672805961060982,0.298432809000804,Inf,-1.25772351850768,-0.0878884036142857,-2.25446378805881,0.0241670062915308,"Oligodendrocytes7","Arteries",0.344265028559013
"AD_Amyloid_vs_Control",0.141821749711189,0.283098201944661,Inf,-0.413040530188393,0.696684029610771,0.500963088910441,0.61639710038403,"Oligodendrocytes8","Arteries",0.888996986252671
"AD_Amyloid_vs_Control",-0.0205824784989792,0.110054600985134,Inf,-0.236285532762768,0.195120575764809,-0.187020608995343,0.851644474386439,"OPC1","Arteries",0.932753471947053
"AD_Amyloid_vs_Control",0.0707327690437701,0.104635008674638,Inf,-0.134348079480557,0.275813617568098,0.675995251873233,0.499043659672977,"OPC2","Arteries",0.841840242056211
"AD_Amyloid_vs_Control",0.72588919332072,0.292970403048471,Inf,0.151677754809532,1.30010063183191,2.47768779974891,0.0132236796994945,"OPC3","Arteries",0.344265028559013
"AD_Amyloid_vs_Control",-0.0747582112525548,0.278456208136603,Inf,-0.620522350471885,0.471005927966776,-0.26847385358304,0.788334598165981,"Pericytes","Arteries",0.906584787890878
"AD_Amyloid_vs_Control",-0.309297747355698,0.696708017607225,Inf,-1.67482036960616,1.05622487489476,-0.443941708060072,0.657084728969365,"SMC","Arteries",0.888996986252671
