"contrast","odds.ratio","SE","df","asymp.LCL","asymp.UCL","null","z.ratio","p.value","celltype","region","p_adj"
"Amyloid_effect",1.3566757476806,0.271890690505897,Inf,0.915982543199452,2.00939318986992,1,1.52207068177285,0.127991371203579,"Astrocytes2","Parenchyma",0.32708905974248
"Amyloid_effect",0.633549932080651,0.0891209636210097,Inf,0.480886966505248,0.834677469752171,1,-3.2446083092956,0.00117612280267388,"Astrocytes3","Parenchyma",0.00982795075102332
"Amyloid_effect",1.15947706706633,0.182610162781294,Inf,0.85153677422594,1.57877746416154,1,0.939524802834887,0.347461363979788,"Astrocytes4","Parenchyma",0.629416577780623
"Amyloid_effect",0.635937564210161,0.135757499927851,Inf,0.418507509025507,0.966330536135983,1,-2.1204003336126,0.0339722985988674,"Astrocytes5","Parenchyma",0.1420659759589
"Amyloid_effect",1.14019922996242,0.180249157832685,Inf,0.836407614931218,1.55433099938216,1,0.829948794592359,0.406567735243731,"Endothelial","Parenchyma",0.644900545559022
"Amyloid_effect",1.31341998370485,0.262961747933417,Inf,0.887121911182988,1.94457157674625,1,1.36173221021565,0.173282412140566,"ExNeuron1","Parenchyma",0.346564824281131
"Amyloid_effect",0.711479727086577,0.102919876693842,Inf,0.53583495501648,0.94470022404496,1,-2.35322516249081,0.0186113605142194,"ExNeuron10","Parenchyma",0.0856122583654091
"Amyloid_effect",1.09748743191523,0.115893473683985,Inf,0.892305567192645,1.34984999253272,1,0.880912659452138,0.378365094982225,"ExNeuron11","Parenchyma",0.629416577780623
"Amyloid_effect",1.04723588562869,0.125418208391414,Inf,0.828139714141992,1.32429707381533,1,0.385385331849917,0.699951948410004,"ExNeuron12","Parenchyma",0.804944740671505
"Amyloid_effect",0.91478544921943,0.115455938374193,Inf,0.714312573354659,1.17152133298388,1,-0.705689360868856,0.480381338660141,"ExNeuron13","Parenchyma",0.655280626463237
"Amyloid_effect",1.01670272848429,0.127794531491549,Inf,0.79469804092229,1.30072604294803,1,0.131785364008601,0.895154063405071,"ExNeuron14","Parenchyma",0.915046375925184
"Amyloid_effect",0.821689332893122,0.118011987285205,Inf,0.620093363588324,1.08882532766241,1,-1.3674369131068,0.171488398787743,"ExNeuron2","Parenchyma",0.346564824281131
"Amyloid_effect",1.56027939586981,0.359253296990906,Inf,0.99360503186185,2.4501403627295,1,1.93210069678345,0.0533470783599612,"ExNeuron3","Parenchyma",0.188766584966017
"Amyloid_effect",1.44747052196035,0.309130460143648,Inf,0.952405810849526,2.19987203781895,1,1.73163144215127,0.0833392042933006,"ExNeuron4","Parenchyma",0.239600212343239
"Amyloid_effect",0.98364335621614,0.107727335571501,Inf,0.793624710679796,1.21915842489251,1,-0.150585164236124,0.880302965154068,"ExNeuron5","Parenchyma",0.915046375925184
"Amyloid_effect",1.40869990615347,0.255932834256803,Inf,0.986670280731384,2.01124475354197,1,1.88610145097804,0.059281284835796,"ExNeuron6","Parenchyma",0.194781364460472
"Amyloid_effect",1.13763746334558,0.209772064408182,Inf,0.792589872704956,1.63289873183774,1,0.69934275368884,0.484337854342393,"ExNeuron7","Parenchyma",0.655280626463237
"Amyloid_effect",1.10858547541086,0.151502331200849,Inf,0.848089423202527,1.44909454435967,1,0.754301094824605,0.450668445080581,"ExNeuron8","Parenchyma",0.655280626463237
"Amyloid_effect",1.09070844486255,0.211248123041336,Inf,0.746187871909445,1.59429676691241,1,0.448304177688391,0.653933686005594,"ExNeuron9","Parenchyma",0.771306398878392
"Amyloid_effect",1.09877912512934,0.0735027457270914,Inf,0.963760977274404,1.25271264793723,1,1.4081737743766,0.15907961990974,"Fibroblast","Parenchyma",0.346564824281131
"Amyloid_effect",1.19249042881378,0.148937727941,Inf,0.933561466565223,1.52323491675856,1,1.40951986905221,0.158681502530545,"InhNeuron1","Parenchyma",0.346564824281131
"Amyloid_effect",1.00580652582837,0.113522078118044,Inf,0.806198762897826,1.25483542515327,1,0.0512970803728448,0.959088794568495,"InhNeuron2","Parenchyma",0.959088794568495
"Amyloid_effect",0.915565671116599,0.119693711638704,Inf,0.70861483265691,1.1829564659043,1,-0.674763634217224,0.499825948228031,"InhNeuron3","Parenchyma",0.656914103385412
"Amyloid_effect",1.0692388483388,0.130930976376617,Inf,0.841090964359182,1.35927237747456,1,0.546718404486476,0.5845722080007,"InhNeuron4","Parenchyma",0.707640041264005
"Amyloid_effect",1.06622404938497,0.111713211664305,Inf,0.868288726191913,1.30928076018301,1,0.612013538004068,0.540528800580842,"InhNeuron5","Parenchyma",0.690675689631076
"Amyloid_effect",0.801732460696647,0.10602271933718,Inf,0.618678262326027,1.03894863885807,1,-1.67102951480395,0.0947158481697697,"Microglia1","Parenchyma",0.256289942106436
"Amyloid_effect",1.04832258787011,0.169854596426214,Inf,0.763095528293889,1.44016077606399,1,0.291259469289479,0.770852883089348,"Microglia2","Parenchyma",0.864859332246585
"Amyloid_effect",1.34973458144214,0.12571309700484,Inf,1.12452265340374,1.6200504585893,1,3.21999985410884,0.00128190661969869,"Microglia3","Parenchyma",0.00982795075102332
"Amyloid_effect",0.544916174008282,0.0798497796484681,Inf,0.408882118481657,0.726208418696464,1,-4.1431712164526,3.42536016747287e-05,"Microglia4","Parenchyma",0.000787832838518761
"Amyloid_effect",0.874158424972576,0.147785598424639,Inf,0.627603922763243,1.21757198168247,1,-0.795535987934345,0.426301785470421,"Microglia5","Parenchyma",0.653662737721312
"Amyloid_effect",0.454628728063819,0.0939809343343529,Inf,0.303177059002992,0.681737863216379,1,-3.81324242270427,0.00013715545969544,"Oligodendrocytes1","Parenchyma",0.00210305038199674
"Amyloid_effect",0.721042198943929,0.16411120111499,Inf,0.461556481721636,1.1264100348426,1,-1.43696676606087,0.150727436980316,"Oligodendrocytes2","Parenchyma",0.346564824281131
"Amyloid_effect",0.910219977846966,0.118742976447779,Inf,0.704859652818505,1.17541187775301,1,-0.721082313309085,0.470858872232927,"Oligodendrocytes3","Parenchyma",0.655280626463237
"Amyloid_effect",0.746869339557016,0.119926758659044,Inf,0.545211463114516,1.02311460434787,1,-1.81765136656015,0.069117435352308,"Oligodendrocytes4","Parenchyma",0.211960135080411
"Amyloid_effect",0.886293773895154,0.195231778622853,Inf,0.575540641144077,1.36483264167729,1,-0.547972748106622,0.583710615247965,"Oligodendrocytes5","Parenchyma",0.707640041264005
"Amyloid_effect",0.551787336268974,0.100317468510207,Inf,0.386384222662113,0.787996110113075,1,-3.27050366958772,0.00107356149354636,"Oligodendrocytes6","Parenchyma",0.00982795075102332
"Amyloid_effect",0.655438254444995,0.142698872532455,Inf,0.427771915636947,1.00427187874228,1,-1.94038436807336,0.0523329949119962,"Oligodendrocytes7","Parenchyma",0.188766584966017
"Amyloid_effect",0.889442003730872,0.119483051825802,Inf,0.683552080526502,1.15734718763703,1,-0.872156266114887,0.383123134301249,"Oligodendrocytes8","Parenchyma",0.629416577780623
"Amyloid_effect",0.644257307465493,0.0946190944903856,Inf,0.483111432446004,0.859154742253128,1,-2.99360602163306,0.00275701701072355,"OPC1","Parenchyma",0.0181175403561833
"Amyloid_effect",0.64193515522726,0.0625372829730672,Inf,0.53035559978963,0.776989521144119,1,-4.5500745962397,5.36269007586794e-06,"OPC2","Parenchyma",0.000246683743489925
"Amyloid_effect",0.714528439634044,0.0987629034293132,Inf,0.544961108606322,0.936857480254947,1,-2.4318464452643,0.0150220743912385,"OPC3","Parenchyma",0.0767794913329966
"Amyloid_effect",0.978707755520872,0.130141883980602,Inf,0.754164442792997,1.27010611527812,1,-0.161853646240924,0.87142110634941,"Pericytes","Parenchyma",0.915046375925184
