"celltype","region","contrast","type","log2_OR","odds.ratio","SE","p.value","p_adj","estimate"
"VLMC1","Parenchyma","Disease_effect","Disease",-1.60387459312107,0.328992227803428,0.0845789723419316,1.52994234999693e-05,0.000234591160332863,NA
"VLMC2","Parenchyma","Disease_effect","Disease",-0.226754977020845,0.85455486358919,0.234451187225578,0.566720460691174,0.770205615605285,NA
"Astrocytes1","Arteries","AD_overall_vs_Control","Overall",0.142532982180639,NA,0.1560443002609,0.526648723967774,0.865208617947057,0.0987963347353111
"Astrocytes2","Arteries","AD_overall_vs_Control","Overall",-1.27306466388877,NA,0.277489081362221,0.00147264239839725,0.0135483100652547,-0.882421182444994
"Astrocytes3","Arteries","AD_overall_vs_Control","Overall",-0.0626991447304826,NA,0.179917589137553,0.80912610495051,0.954353867377524,-0.043459735393454
"Astrocytes4","Arteries","AD_overall_vs_Control","Overall",-0.557435040635266,NA,0.150169276195356,0.0100823188127022,0.0463786665384301,-0.386384526761653
"Astrocytes5","Arteries","AD_overall_vs_Control","Overall",-0.22531205933773,NA,0.156784990263774,0.319198802438426,0.543820181932134,-0.156174418676102
"Endothelial","Arteries","AD_overall_vs_Control","Overall",0.0664461830957605,NA,0.171217485926402,0.787932016389422,0.954353867377524,0.0460569844717963
"ExNeuron1","Arteries","AD_overall_vs_Control","Overall",-0.615115763909783,NA,0.221283828291451,0.0540067696918186,0.165620760388244,-0.426365757472043
"ExNeuron10","Arteries","AD_overall_vs_Control","Overall",-1.30584683574646,NA,0.267294311845623,0.000708367507992975,0.0135483100652547,-0.905144052440788
"ExNeuron11","Arteries","AD_overall_vs_Control","Overall",-1.02886479574404,NA,0.196117852302311,0.000276519901933626,0.0127199154889468,-0.713154732347364
"ExNeuron12","Arteries","AD_overall_vs_Control","Overall",0.731392562616854,NA,0.397169335451178,0.201800143024945,0.386783607464478,0.506962692660385
"ExNeuron13","Arteries","AD_overall_vs_Control","Overall",-0.122332912226328,NA,0.27785234449431,0.760229791136246,0.954353867377524,-0.0847947131993665
"ExNeuron14","Arteries","AD_overall_vs_Control","Overall",-0.165558146603562,NA,0.367760038724999,0.755009462944247,0.954353867377524,-0.114756162536989
"ExNeuron2","Arteries","AD_overall_vs_Control","Overall",-0.0151881834930369,NA,0.181642111777405,0.95378193846266,0.963391462187811,-0.0105276465660256
"ExNeuron3","Arteries","AD_overall_vs_Control","Overall",0.0165876072048252,NA,0.173677889759955,0.947217786032359,0.963391462187811,0.0114976531662604
"ExNeuron4","Arteries","AD_overall_vs_Control","Overall",-0.569463079678236,NA,0.253613183327609,0.119614720376635,0.293355734927329,-0.394721728111952
"ExNeuron5","Arteries","AD_overall_vs_Control","Overall",-0.0278525902445069,NA,0.169959303202131,0.909561568803978,0.963391462187811,-0.0193059443992714
"ExNeuron6","Arteries","AD_overall_vs_Control","Overall",0.112093062428427,NA,0.259922973992134,0.764998694719949,0.954353867377524,0.0776969901825944
"ExNeuron7","Arteries","AD_overall_vs_Control","Overall",0.772265838043422,NA,0.397776996044106,0.178394918970187,0.356789837940375,0.535293888282562
"ExNeuron8","Arteries","AD_overall_vs_Control","Overall",-0.144263091218218,NA,0.170483910961231,0.557512997657705,0.884330961801877,-0.0999955549367698
"ExNeuron9","Arteries","AD_overall_vs_Control","Overall",-0.10954213606003,NA,0.283669242985346,0.788955850109908,0.954353867377524,-0.0759288227625237
"Fibroblast","Arteries","AD_overall_vs_Control","Overall",-0.686252516246245,NA,0.225222706010373,0.0346850624475902,0.13033595761211,-0.475673996788253
