"contrast","odds.ratio","SE","df","asymp.LCL","asymp.UCL","null","z.ratio","p.value","celltype","region","p_adj"
"Disease_effect",1.81378696046896,0.485318174529401,Inf,1.07356607171375,3.06438814028057,1,2.22526060483627,0.0260637484590829,"ExNeuron6","Parenchyma",0.0312109821589595
"Disease_effect",1.65451300941936,0.464220111302032,Inf,0.954644505678792,2.86746876146476,1,1.79453320539165,0.0727281035446611,"ExNeuron7","Parenchyma",0.0778021572803351
"Disease_effect",1.66556408053129,0.404478603496626,Inf,1.03478210213717,2.68085783531297,1,2.10075534692812,0.035662448054939,"ExNeuron8","Parenchyma",0.0400115270860291
"Disease_effect",1.67304741798901,0.463985893521572,Inf,0.97150424490743,2.88118932831469,1,1.85572116063801,0.0634933130421603,"ExNeuron9","Parenchyma",0.0695402952366517
"Disease_effect",0.395276559534824,0.0580506498597511,Inf,0.296410021066391,0.527119690338308,1,-6.32006171059573,2.6145887075847e-10,"Fibroblast","Parenchyma",6.01355402744481e-09
"Disease_effect",2.04320247458242,0.360167179582289,Inf,1.44632256150603,2.88640754368977,1,4.05341153048165,5.04760938493404e-05,"InhNeuron1","Parenchyma",0.000122205279845772
"Disease_effect",2.06102414881888,0.404383224893776,Inf,1.40304980949423,3.02756218152072,1,3.68595627773803,0.000227845468687906,"InhNeuron2","Parenchyma",0.000499090074268746
"Disease_effect",1.95610054376095,0.469173390028831,Inf,1.22244497539256,3.13006263212228,1,2.79736980672733,0.00515205264828511,"InhNeuron3","Parenchyma",0.00764498134906822
"Disease_effect",1.9090006776138,0.428991847592227,Inf,1.22891976704418,2.96543654423857,1,2.87726089339107,0.00401143789170467,"InhNeuron4","Parenchyma",0.00615087143394716
"Disease_effect",2.18881055793741,0.351615369843356,Inf,1.59760450342885,2.99879704160562,1,4.87641611708335,1.08030595988909e-06,"InhNeuron5","Parenchyma",7.79145778144528e-06
"Disease_effect",3.11059449178947,0.813684307871093,Inf,1.8628676204856,5.19403417932013,1,4.33822517751492,1.43637949820745e-05,"Microglia1","Parenchyma",6.28758428189238e-05
"Disease_effect",1.56733298400637,0.325198602931331,Inf,1.04363693184391,2.35381923329801,1,2.16581787475177,0.0303251068810399,"Microglia2","Parenchyma",0.0348738729131959
"Disease_effect",1.73305869802633,0.29064446641631,Inf,1.24756046977586,2.40749248118157,1,3.27887878519478,0.00104220391717543,"Microglia3","Parenchyma",0.0019176552076028
"Disease_effect",3.69830034148009,0.807286151911672,Inf,2.4109990324229,5.67292862081608,1,5.99156622983249,2.07829653363613e-09,"Microglia4","Parenchyma",3.12543910156492e-08
"Disease_effect",2.61265774207161,0.73021612848702,Inf,1.51070185618264,4.51841668776071,1,3.43612360783923,0.000590101674674585,"Microglia5","Parenchyma",0.00118020334934917
"Disease_effect",2.70682274128012,0.769523522149027,Inf,1.55049886087732,4.72550450541152,1,3.50267115140941,0.000460617753818882,"Oligodendrocytes1","Parenchyma",0.000963109848894026
"Disease_effect",0.76154264422992,0.241117228585814,Inf,0.409439257900209,1.41644258040846,1,-0.860374654972065,0.389582552282771,"Oligodendrocytes2","Parenchyma",0.389582552282771
"Disease_effect",2.40886404586862,0.489298457406882,Inf,1.61775481497293,3.58683895592402,1,4.32816725132053,1.50355276306122e-05,"Oligodendrocytes3","Parenchyma",6.28758428189238e-05
"Disease_effect",2.75089099588552,0.664818339965254,Inf,1.71301139472629,4.41760124570168,1,4.18715130470378,2.82477524346311e-05,"Oligodendrocytes4","Parenchyma",8.87983462850753e-05
"Disease_effect",1.98840691312407,0.543361155943585,Inf,1.16386348395477,3.3971012121841,1,2.51526854438889,0.0118941747039133,"Oligodendrocytes5","Parenchyma",0.0156323438965718
"Disease_effect",2.94521140034352,0.761447528040555,Inf,1.77438955573472,4.88859403205948,1,4.17804259981297,2.94028592853405e-05,"Oligodendrocytes6","Parenchyma",8.87983462850753e-05
"Disease_effect",2.0153546568857,0.617395299457649,Inf,1.10557834252388,3.67378252341546,1,2.2875957226853,0.0221610752263405,"Oligodendrocytes7","Parenchyma",0.0275516070381531
"Disease_effect",2.17340065856559,0.403872720184604,Inf,1.50995865209025,3.12834422062769,1,4.17754350231168,2.94674317565946e-05,"Oligodendrocytes8","Parenchyma",8.87983462850753e-05
"Disease_effect",2.61787684240313,0.579408088418478,Inf,1.69650411567014,4.03964782560132,1,4.34814338107447,1.37294839686581e-05,"OPC1","Parenchyma",6.28758428189238e-05
"Disease_effect",3.17208430650712,0.515722902207089,Inf,2.3065077373159,4.36249082749583,1,7.10036114311934,1.24431299828094e-12,"OPC2","Parenchyma",5.72383979209231e-11
"Disease_effect",2.73825740517485,0.567784079444548,Inf,1.82379339836894,4.11124068312812,1,4.85801962210956,1.18565661891559e-06,"OPC3","Parenchyma",7.79145778144528e-06
"Disease_effect",1.93842371083765,0.418536215238988,Inf,1.26958239423455,2.95962396753545,1,3.06543229612265,0.00217355581836279,"Pericytes","Parenchyma",0.00357084170159601
"Disease_effect",2.16991319912196,0.410786378587879,Inf,1.49727424387238,3.1447300392653,1,4.09216078007966,4.27372158249705e-05,"SMC","Parenchyma",0.00010921732933048
"Disease_effect",2.05850315360814,0.440517071384688,Inf,1.35330436614296,3.13117679912001,1,3.37375402414995,0.000741505947843389,"VLMC1","Parenchyma",0.00142121973336649
"Disease_effect",2.78444399121395,0.479405307732738,Inf,1.98694020604484,3.90204411618438,1,5.94779581550586,2.71777313179558e-09,"VLMC2","Parenchyma",3.12543910156492e-08
