"region","celltype_1","celltype_2","r","p.value","p_adj","n"
"Arteries","InhNeuron4","Microglia3",0.352286139813179,0.647713860186821,0.93891294859014,4
"Arteries","InhNeuron4","Microglia4",-0.902900489006314,0.097099510993686,0.797938550700514,4
"Arteries","InhNeuron4","Microglia5",-0.589683553731391,0.410316446268609,0.891037965234946,4
"Arteries","InhNeuron4","Oligodendrocytes1",-0.776637669161352,0.223362330838648,0.869181334725044,4
"Arteries","InhNeuron4","Oligodendrocytes2",0.273122811005069,0.726877188994931,0.958366739630259,4
"Arteries","InhNeuron4","Oligodendrocytes3",-0.601993823978529,0.398006176021471,0.891037965234946,4
"Arteries","InhNeuron4","Oligodendrocytes4",-0.433836775357575,0.566163224642426,0.912639587855679,4
"Arteries","InhNeuron4","Oligodendrocytes5",-0.534591666950903,0.465408333049097,0.903421216954479,4
"Arteries","InhNeuron4","Oligodendrocytes6",-0.63851975048611,0.36148024951389,0.88682908353415,4
"Arteries","InhNeuron4","Oligodendrocytes7",-0.999047014748171,0.000952985251829431,0.401720779449181,4
"Arteries","InhNeuron4","Oligodendrocytes8",-0.439250578575338,0.560749421424662,0.912639587855679,4
"Arteries","InhNeuron4","OPC1",-0.680605456082194,0.319394543917806,0.874424971015246,4
"Arteries","InhNeuron4","OPC2",-0.671351001417644,0.328648998582356,0.875070023758865,4
"Arteries","InhNeuron4","OPC3",-0.221222210526037,0.778777789473963,0.97510263871957,4
"Arteries","InhNeuron4","Pericytes",0.653670114214193,0.346329885785807,0.878746225416399,4
"Arteries","InhNeuron4","SMC",0.503468141249598,0.496531858750402,0.90810940311922,4
"Arteries","InhNeuron4","VLMC1",-0.168720895359678,0.831279104640322,0.97510263871957,4
"Arteries","InhNeuron4","VLMC2",-0.325573853911389,0.674426146088611,0.943285217840152,4
"Arteries","InhNeuron5","Microglia1",-0.670406274025984,0.329593725974016,0.875070023758865,4
"Arteries","InhNeuron5","Microglia2",-0.556971347736976,0.443028652263024,0.903421216954479,4
"Arteries","InhNeuron5","Microglia3",-0.0218968962774823,0.978103103722518,0.993629604746381,4
"Arteries","InhNeuron5","Microglia4",-0.857191799117402,0.142808200882598,0.8341377380663,4
"Arteries","InhNeuron5","Microglia5",-0.675056833196356,0.324943166803644,0.874424971015246,4
"Arteries","InhNeuron5","Oligodendrocytes1",-0.282379232196985,0.717620767803016,0.954820189495818,4
"Arteries","InhNeuron5","Oligodendrocytes2",-0.160426330180308,0.839573669819692,0.97510263871957,4
"Arteries","InhNeuron5","Oligodendrocytes3",-0.921864442708165,0.0781355572918353,0.797938550700514,4
"Arteries","InhNeuron5","Oligodendrocytes4",-0.679783801941724,0.320216198058276,0.874424971015246,4
"Arteries","InhNeuron5","Oligodendrocytes5",-0.72091883303733,0.27908116696267,0.869181334725044,4
"Arteries","InhNeuron5","Oligodendrocytes6",-0.920784921017642,0.0792150789823584,0.797938550700514,4
"Arteries","InhNeuron5","Oligodendrocytes7",-0.834252170553399,0.165747829446601,0.869181334725044,4
"Arteries","InhNeuron5","Oligodendrocytes8",-0.745338285259727,0.254661714740272,0.869181334725044,4
"Arteries","InhNeuron5","OPC1",-0.250651572925343,0.749348427074656,0.970369698422337,4
"Arteries","InhNeuron5","OPC2",-0.759470566002281,0.240529433997719,0.869181334725044,4
"Arteries","InhNeuron5","OPC3",-0.0500004056426484,0.949999594357352,0.993629604746381,4
"Arteries","InhNeuron5","Pericytes",0.115542544543602,0.884457455456398,0.977266292094293,4
"Arteries","InhNeuron5","SMC",0.0613591837879134,0.938640816212087,0.991885309455043,4
"Arteries","InhNeuron5","VLMC1",-0.521493525333295,0.478506474666705,0.90810940311922,4
"Arteries","InhNeuron5","VLMC2",-0.637556809338217,0.362443190661783,0.88682908353415,4
"Arteries","Microglia1","Microglia2",0.385933562952477,0.614066437047523,0.934635937133638,4
"Arteries","Microglia1","Microglia3",0.716227523605812,0.283772476394187,0.869181334725044,4
"Arteries","Microglia1","Microglia4",0.741529570001696,0.258470429998304,0.869181334725044,4
"Arteries","Microglia1","Microglia5",0.943301579477869,0.0566984205221309,0.797938550700514,4
"Arteries","Microglia1","Oligodendrocytes1",-0.138710730234567,0.861289269765433,0.976432638661412,4
"Arteries","Microglia1","Oligodendrocytes2",-0.174193997264322,0.825806002735678,0.97510263871957,4
"Arteries","Microglia1","Oligodendrocytes3",0.882859044372595,0.117140955627405,0.797938550700514,4
"Arteries","Microglia1","Oligodendrocytes4",0.998447455924834,0.00155254407516592,0.401720779449181,4
"Arteries","Microglia1","Oligodendrocytes5",0.984034853927992,0.0159651460720084,0.663710628033196,4
"Arteries","Microglia1","Oligodendrocytes6",0.902037855928749,0.0979621440712508,0.797938550700514,4
"Arteries","Microglia1","Oligodendrocytes7",0.385036644262795,0.614963355737205,0.934635937133638,4
"Arteries","Microglia1","Oligodendrocytes8",0.171443241019215,0.828556758980785,0.97510263871957,4
