"contrast1","contrast","estimate","SE","df","asymp.LCL","asymp.UCL","z.ratio","p.value","celltype","p_adj"
"Arteries - Parenchyma","Amyloid_effect",0.141852037972714,0.19789536999072,Inf,-0.321955457017648,0.605659532963076,0.716803217676928,0.753541690277769,"ExNeuron5",0.999942844910086
"Capillaries - Parenchyma","Amyloid_effect",-0.112147595563384,0.235496473320889,Inf,-0.664080818534434,0.439785627407666,-0.476217728367299,0.882521220678599,"ExNeuron5",0.999942844910086
"Arteries - Capillaries","Disease_effect",1.04473052203914,0.440102257782372,Inf,0.0132626017375332,2.07619844234074,2.37383586101881,0.0463067839560085,"ExNeuron6",0.252801010541013
"Arteries - Parenchyma","Disease_effect",0.811796970504921,0.391876567758207,Inf,-0.106644371735062,1.7302383127449,2.07156292898281,0.0957825304982229,"ExNeuron6",0.440599640291825
"Capillaries - Parenchyma","Disease_effect",-0.232933551534217,0.436929875761392,Inf,-1.2569663582282,0.791099255159767,-0.533114269488458,0.855046131732111,"ExNeuron6",0.999957860652559
"Arteries - Capillaries","Amyloid_effect",-1.2760996170434,0.428438259586342,Inf,-2.28023061791568,-0.271968616171116,-2.97849127264095,0.00814894707509994,"ExNeuron6",0.124950521818199
"Arteries - Parenchyma","Amyloid_effect",-0.301482809304799,0.38129075358663,Inf,-1.19511417264743,0.592148554037836,-0.790690061242992,0.708763151989224,"ExNeuron6",0.998054234433805
"Capillaries - Parenchyma","Amyloid_effect",0.974616807738597,0.414461615433228,Inf,0.00324287598487039,1.94599073949232,2.35152489747416,0.0490181369215068,"ExNeuron6",0.23840354586123
"Arteries - Capillaries","Disease_effect",1.12396969039829,0.476912208295625,Inf,0.0062302674381205,2.24170911335845,2.35676434959611,0.0483697262755767,"ExNeuron7",0.252801010541013
"Arteries - Parenchyma","Disease_effect",0.518642424081081,0.421851535910614,Inf,-0.470051268640046,1.50733611680221,1.22944301473629,0.435727331086776,"ExNeuron7",0.999957860652559
"Capillaries - Parenchyma","Disease_effect",-0.605327266317205,0.474512622654947,Inf,-1.71744277900059,0.506788246366182,-1.27568211553643,0.408938470007114,"ExNeuron7",0.999957860652559
"Arteries - Capillaries","Amyloid_effect",-0.555769899771531,0.442541877621757,Inf,-1.59295555852496,0.481415758981899,-1.25585832183446,0.420334697288387,"ExNeuron7",0.837363376982837
"Arteries - Parenchyma","Amyloid_effect",0.623707433770338,0.366293557144965,Inf,-0.234774991455084,1.48218985899576,1.70275294665775,0.204115375547978,"ExNeuron7",0.56335843651242
"Capillaries - Parenchyma","Amyloid_effect",1.17947733354187,0.442810015856064,Inf,0.141663239051054,2.21729142803268,2.66361936565874,0.0211035564455517,"ExNeuron7",0.182516300908499
"Arteries - Capillaries","Disease_effect",-0.294726509677725,0.2992790311288,Inf,-0.996146950881076,0.406693931525627,-0.984788371460894,0.586489416719254,"ExNeuron8",0.999957860652559
"Arteries - Parenchyma","Disease_effect",-0.255018005878772,0.268127792482872,Inf,-0.883429270753783,0.373393258996238,-0.951106200208853,0.607871916222511,"ExNeuron8",0.999957860652559
