"pathway","pval","padj","log2err","ES","NES","size","leadingEdge"
"Mitotic Metaphase And Anaphase R-HSA-2555396",0.00179901912925263,0.00853437123511311,0.45505986738723,-0.262212399456225,-1.49638407392533,225,"TUBA4A;TUBB2A;TUBB4B;DYNC1H1;DYNLL1;TUBA1C;PPP2R5B;RANGAP1;PSMC5;PPP2CA;PPP2R1A;RAN;TUBB2B;PSMD8;DYNC1I1;PAFAH1B1;PSMD2;PPP2R5D;DYNLL2;SUMO1;PSMA1;PSMD7;PSMB7;TUBB4A;PPP2CB;PSMF1;CLIP1;PPP1CC;TUBA8;KPNB1;CENPT;ANAPC5;UBB;RANBP2;ANAPC11;PSMD14;CHMP4B;PSMB1;PSMB3;PDS5B;PSMC1;BANF1;PSMC3;PSMC2;VPS4A;PPP2R2A;CLASP1;XPO1;UBE2E1;UBE2D1;TAOK1;CHMP7;BUB3;PSMB2;PSMB5;CDC16;SEH1L;BIRC5;CENPQ;PSMB6;PPP2R5C;NUDC"
"FCGR3A-mediated Phagocytosis R-HSA-9664422",0.00187311780979865,0.00884991289083006,0.45505986738723,-0.41390171949998,-1.84612562771475,56,"GRB2;CYFIP2;MYO5A;ABI2;MAPK1;ARPC2;ACTR2;MAPK3;WASL;ABI1;ARPC1A;NCKIPSD;WIPF2;VAV2;WASF1;ARPC3;CDC42;MYH9;ACTR3;FYN;BAIAP2"
"FBXL7 Down-Regulates AURKA During Mitotic Entry And In Early Mitosis R-HSA-8854050",0.00191505063504913,0.00901154875444489,0.45505986738723,-0.408982806808088,-1.80832399662871,53,"SKP1;PSMC5;PSMD8;PSMD2;PSMA1;PSMD7;PSMB7;PSMF1;UBB;PSMD14;PSMB1;PSMB3;PSMC1;PSMC3;CUL1;PSMC2;RBX1;PSMB2;PSMB5;PSMB6;PSMC4"
"VEGFR2 Mediated Cell Proliferation R-HSA-5218921",0.00192618817786941,0.00902755664085784,0.45505986738723,-0.598185152635437,-2.01097950117107,18,"CALM1;PRKCB;PRKCZ;ITPR1;AHCYL1;PRKCA;SYNGAP1;PLCG1"
"Vpu Mediated Degradation Of CD4 R-HSA-180534",0.00194303579854553,0.00907009110761056,0.45505986738723,-0.426070963330085,-1.88911810412913,50,"SKP1;PSMC5;PSMD8;PSMD2;PSMA1;PSMD7;PSMB7;PSMF1;UBB;PSMD14;PSMB1;PSMB3;PSMC1;PSMC3;PSMC2;PSMB2;PSMB5;PSMB6;PSMC4"
"Regulation Of Cholesterol Biosynthesis By SREBP (SREBF) R-HSA-1655829",0.00195922521276654,0.00910922638764362,0.431707695803346,-0.401145522441995,-1.76615827459786,55,"HMGCS1;ACACA;SREBF2;RAN;FASN;MVD;SC5D;NFYC;HMGCR;CYP51A1;KPNB1;NFYA;FDPS;IDI1;PKMYT1;NCOA1"
"Viral mRNA Translation R-HSA-192823",0.00200492935160223,0.00928473235444367,0.431707695803346,-0.351707711835685,-1.73598300020451,89,"RPL41;RPL27;RPS15;FAU;RPS21;RPL35A;RSL24D1;RPL23;RPL36;RPL15;RPL31;RPL26;RPL38;RPL14;RPS4Y1;RPLP1;RPL18;RPL4;RPL8;RPS25;RPL22;RPL7A;RPL29;RPL10A;RPS20"
"Mitochondrial Translation Initiation R-HSA-5368286",0.00202614533828077,0.00932103138779334,0.431707695803346,-0.353347144687619,-1.70064818773245,82,"MRPS21;DLGAP3;MRPL41;MRPL33;MRPL50;MRPS18A;MRPL16;MRPL20;MRPL1;GADD45GIP1;MRPL18;MRPL15;MRPL57;MRPL3;MRPL21;MRPS35;MRPS16;MRPS23;MTFMT;MRPL51;MRPS30;OXA1L;MRPL42;CHCHD1;MRPS18B;MRPS34"
"Synaptic Adhesion-Like Molecules R-HSA-8849932",0.00202874205012811,0.00932103138779334,0.431707695803346,-0.573250433512526,-1.98432721119431,21,"RTN3;GRIA1;PTPRS;GRIN2B;FLOT1;GPRIN1;GRIA4;GRIN2A;GRIA3"
"COPI-dependent Golgi-to-ER Retrograde Traffic R-HSA-6811434",0.00204736132698922,0.00936968889645656,0.431707695803346,-0.357003015457222,-1.68215383985356,78,"ARF3;KLC1;NSF;KIFC2;KIF1A;ARF5;KIF5A;KIF3C;RAB1A;KIF1B;KIF5C;COPA;KIF3A;KIF3B;COPE;NAPG;KIF21A;KIFAP3"
"Regulation Of PTEN Stability And Activity R-HSA-8948751",0.00221230013525066,0.0100849775696778,0.431707695803346,-0.379332703453196,-1.73116035675166,66,"PSMC5;AKT3;PSMD8;PSMD2;PSMA1;PSMD7;PSMB7;STUB1;PSMF1;CSNK2B;UBB;PSMD14;PSMB1;PSMB3;AKT1;PSMC1;PSMC3;PSMC2;PTEN;PSMB2;PSMB5;PSMB6;PSMC4"
