"","Astrocytes1","Astrocytes2","Astrocytes3","Astrocytes4","Astrocytes5","Endothelial","ExNeuron1","ExNeuron11","ExNeuron13","ExNeuron14","ExNeuron2","ExNeuron3","ExNeuron4","ExNeuron5","ExNeuron7","ExNeuron8","ExNeuron9","Fibroblast","InhNeuron1","InhNeuron2","InhNeuron3","InhNeuron4","InhNeuron5","Microglia1","Microglia2","Microglia3","Microglia4","Microglia5","Oligodendrocytes1","Oligodendrocytes2","Oligodendrocytes3","Oligodendrocytes4","Oligodendrocytes5","Oligodendrocytes6","Oligodendrocytes7","Oligodendrocytes8","OPC1","OPC2","OPC3","Pericytes","SMC","VLMC1","VLMC2"
"ExNeuron13",0.203562133956182,0.312940291391655,0.27787881571293,0.430476715348581,0.0819596985482904,0.135068036583606,0.388975055439646,0.200405901315243,0.22232807148762,0.206343957625302,0.287492728330425,0.208156516946817,0.216076841317955,0.189854216693566,0.401778442616139,0.140976350124876,0.207442690495873,0.273758567448289,0.133215237045493,0.199065727145088,0.204345943392513,0.316780607714749,0.216963875657731,0.261761734178378,0.129294440289205,0.234645076915675,0.218295301954712,0.179176562698194,0.169552152632891,-0.184070122951357,0.0670883141536214,0.245490690075975,0.259531026519178,0.178219545373031,0.202547380668075,0.0321160667812638,0.231172171265861,0.342263162268673,0.207925573095041,0.21935554418332,0.0366054752938192,0.16876834319656,0.192653536109033
"ExNeuron14",0.081389337217389,0.163363907150074,0.10562619463143,0.300107161446373,-0.129481644775114,-0.0366317189133392,0.543364519501196,0.0741565956776759,0.100270746674715,0.0696181990753498,0.164298180004986,0.0675257078122881,0.051940496966675,0.0334317469065333,0.278004785086626,0.0975589059909809,0.0770731365936657,0.0897872954637904,-0.0141164429398103,0.0573799245058545,0.0998141076950666,0.191168147244201,0.104315763230065,0.128332174240138,-0.0339303756774134,0.0515870828904723,0.0469192177651808,-0.0436002746832176,0.031468724166437,-0.297921942727674,-0.0118839857059752,0.0746132346573239,0.0659668368127999,0.0214244161888141,0.0698246488822405,-0.0276686480599404,0.0370376202285819,0.144181570855586,0.0614896753226872,0.0241450047457212,-0.193600055986388,-0.0262794858000149,0.0244441820082492
"ExNeuron2",0.334993679661632,0.442006412191036,0.420467398863651,0.337112414544214,0.418997756170531,0.46084583185713,-0.238322682797745,0.4386787212359,0.304288644823227,0.346754320355863,0.408033171935073,0.322883124040468,0.401024375948597,0.347888044719128,0.354464695770841,0.204636372781867,0.356097048904985,0.441049394865873,0.408204630249271,0.387883320867614,0.376930983654599,0.361900387968175,0.355717391209262,0.378930747462023,0.407760238292065,0.416266670165816,0.390540924737673,0.492544625088025,0.230211654791429,0.149823949052387,0.392717395583199,0.429825873584485,0.395838636731445,0.351747606363203,0.283561434126328,0.238067244901083,0.45246361978244,0.379322652180189,0.431993596556837,0.504490720693531,0.390577665805001,0.455745821797076,0.485698539542574
"ExNeuron3",-0.0595126559855135,-0.173224509791057,-0.236531118371846,0.0851369260848456,-0.390560170058654,-0.281127775809506,0.880874962274797,-0.158664549681359,-0.0801961273165462,-0.173516688755046,-0.004157864119286,-0.11812865497076,-0.209405713235969,-0.159915495545146,0.0605991418336417,-0.00205312583378166,-0.161754298486181,-0.153337094918798,-0.21166266451469,-0.172622656116732,-0.11235155952709,-0.0440306700433457,-0.127301674780319,-0.0689411136917337,-0.381091472135837,-0.18807489929011,-0.245609661151133,-0.33059524903008,-0.0939617805421057,-0.564362914266469,-0.329851679810346,-0.147902916103522,-0.181965384665853,-0.323560209424084,-0.148947412160418,-0.376540828511068,-0.226988938314372,-0.0272102595056577,-0.262814978108447,-0.283444212625805,-0.385603625118643,-0.260342829149663,-0.262673262563039
"ExNeuron4",-0.0550564893910168,-0.149341066453219,-0.235442882949083,0.0874743577967606,-0.386660368197982,-0.273714828082422,0.87723234788542,-0.158489592217892,-0.0732993041066891,-0.16167906677689,-0.0269495728850923,-0.107248050317766,-0.205213732411307,-0.156461835216313,0.0560187554400836,0.00655828051804905,-0.170832841265467,-0.147972899088909,-0.210121289261548,-0.196997729926912,-0.106759918994694,-0.0389324095579262,-0.115840211348616,-0.0918307986370814,-0.37831839633989,-0.209089040227095,-0.242225983807687,-0.329316309972138,-0.132730604871691,-0.557180910391161,-0.329466773390719,-0.151514038149475,-0.186271087841768,-0.309402651480359,-0.161668569329082,-0.367051135692635,-0.225389827098287,-0.0234924134069904,-0.254040861315593,-0.273723575955596,-0.396767660862453,-0.253762678948681,-0.270940002711841
"ExNeuron5",0.300826236621221,0.394895616003359,0.368471790295984,0.482138155161026,0.251267785519646,0.363305296399813,0.108491997883015,0.405144624213238,0.282301740389368,0.311841558521085,0.463422955293994,0.290076850065828,0.308471877774716,0.331286331010773,0.406427062420449,0.236123467481968,0.326961382513876,0.393032319017439,0.322419486762281,0.351588395071448,0.375039693474524,0.382764065486579,0.352428190896088,0.389930323190174,0.310454145835794,0.396452737428213,0.365231578072581,0.409042676499276,0.266139169914315,-0.0659143495737599,0.228005441177114,0.379646323487602,0.388259479414067,0.242869827273244,0.302642295092006,0.135337471077344,0.384772577167176,0.394648925979871,0.342110949275457,0.405463046796747,0.286509467385742,0.382669588456306,0.403961911760203
"ExNeuron6",0.0299535925328155,-0.072900401089985,-0.0928700459700735,0.231497592147909,-0.296424306840399,-0.162322910242447,0.763716446438959,-0.0178745292550749,-0.0612062442318711,-0.0761581090597348,0.152726493371299,-0.0734865085925984,-0.12170128637475,-0.0615299155392845,0.123055457141982,0.0924571463562921,-0.0536410835115712,-0.0468754783993142,-0.0903086687049211,-0.0724857519015689,-0.0110791813740284,0.0381031111810941,-0.00139528577114689,0.0502241642500667,-0.244964068110941,-0.054482628910846,-0.095956295625626,-0.155987700490318,0.00257449907491241,-0.510399034234802,-0.226957445970948,-0.0619463143023352,-0.0792898476557887,-0.257195344381897,-0.0641507783420156,-0.299765994392613,-0.096082264999322,0.0724210176400863,-0.135475687473483,-0.126178447864863,-0.219278562899395,-0.145066855620727,-0.113814203921672
"ExNeuron7",0.0747479519041933,0.0672790177888001,0.0207018418646966,0.288923880381582,-0.183665971210749,-0.0677479037908908,0.656568996662686,0.0615019223451298,0.0821294072878531,0.093786823078639,0.16653763553736,0.0745607474182839,0.0122986348943913,0.0471956505574582,0.348381424766104,0.150245596539341,0.0537460579896513,0.0767634618833296,-0.00568524277535024,0.018588355706019,0.126757557068938,0.16522545456136,0.078957428475202,0.104695420925787,-0.0757049692293561,0.0209432831642807,0.0103216155572177,-0.0523359008341097,0.00965152847214021,-0.323990604784212,-0.00130955661404821,0.110350046145031,0.041555021935292,-0.0268953360714176,0.101589925949254,-0.0523254033863017,-0.0240645243125265,0.112949914052146,-0.0526053353278484,-0.00867001710209205,-0.211220022132119,-0.0330783328303306,-0.00340029830247521
"ExNeuron8",0.159383624856207,0.168973043428816,0.14213631810766,0.366274324554843,-0.0613654555236258,0.0636801427652902,0.60622323697551,0.153380834284665,0.153987936682894,0.172024301591675,0.271443880206625,0.167722097565029,0.0948820567999405,0.134474930782454,0.359389748367428,0.235173448455344,0.134184501393099,0.170652635078097,0.0855515752732617,0.10184361427128,0.206865330866433,0.25901840115122,0.209711888797036,0.181162329908541,0.0496205610011066,0.131542643694752,0.139965095986038,0.0845543177315015,0.138364235195318,-0.278541904499469,0.0387259597510355,0.191715764104852,0.118202137105416,0.0429266884488709,0.151291842170872,-0.0491446767004772,0.123884755518814,0.233953994934981,0.0760618824548282,0.112323566332935,-0.0608143395137057,0.101474454023366,0.112734716372082
"ExNeuron9",0.154687766536761,0.117670266416477,0.0830706784413039,0.323285526206441,-0.0758816762674575,0.043703499586663,0.57719954336102,0.187515035407017,0.163376154172517,0.154456822684985,0.278571647268258,0.14688991239005,0.117637024498419,0.103311507389766,0.321352246235134,0.203850813770902,0.162868777528463,0.18140552078276,0.083422342942872,0.125079714994292,0.223309582857668,0.239372427578545,0.174825370581777,0.178272032612071,0.0145993255389783,0.112320067183666,0.123183176090313,0.113892934780232,0.151678498165134,-0.247409973450205,0.0484903357871118,0.161546099104655,0.0892904162675449,-0.00567299575290757,0.183036124342269,-0.0879957310378914,0.0943974246261378,0.228089420759578,0.0590332725356148,0.0791901219016127,-0.0628613418362661,0.0734585153984437,0.10040021519768
