"pathway","pval","padj","log2err","ES","NES","size","leadingEdge"
"PI3K Events In ERBB2 Signaling R-HSA-1963642",0.468652037617555,0.707036921521601,0.0699458736501659,-0.359702545533482,-0.997166851364341,16,"PIK3R1;GRB2;PIK3CA;EGFR"
"Processive Synthesis On Lagging Strand R-HSA-69183",0.466666666666667,0.707036921521601,0.101713902282311,0.339012495617333,0.986221314685638,15,"POLD2;POLD4;POLD1;FEN1"
"Regulation Of mRNA Stability By Proteins That Bind AU-rich Elements R-HSA-450531",0.468531468531469,0.707036921521601,0.0643583367917361,-0.252718247777695,-1.00185607279691,87,"YWHAB;HSPA8;PSMD2;PSMC4;PSMD7;PSMC3;PSMF1;MAPK11;PSMA1;PSMD8;PSMC6;PSMC5;PSMB5;PSMD12;HNRNPD;PSMD5;PSMA6;PSMC2;EXOSC8;PSMB3;PSMB1;PSMD9;PSMA5;PSMA8;PSMA4;PSMC1;PSMB7;UBB;PRKCA;EXOSC9"
"Signaling By Nuclear Receptors R-HSA-9006931",0.470588235294118,0.707036921521601,0.140406238523342,0.194274649871831,0.994985863007363,255,"APOD;SCD;CTSD;CRABP2;H2AC19;H2BC17;H2AJ;PLIN1;GATA3;DAND5;KDM1A;H3-3B;GNG11;LDHD;CBFB;RAD21;ABCG1;KCNH8;DHRS4;AXIN1;H2AC6;GNAI2;H2AB1;PTK2;GNAI1;ALDH1A2;KAT2B;CAV1;PCK1;KDM4B;POLR2L;GNB3;MBD4;KANK1;GNG5;GTF2F2;PGR;H2BC5;SMC1A;PDK4;FKBP4;FOXO3;MYC;SPHK1;AGO2;H2BC21;PRMT1;RXRA;GNG8;GPAM;IGF1R;POLR2I;TGFA;H2AX;HSP90AA1;KDM4A;CDKN1B;NCOR2;CPT1A;MMP9;FKBP5;APOC1"
"Signaling By FGFR3 In Disease R-HSA-5655332",0.472353870458136,0.708530805687204,0.0699458736501659,-0.341080805381023,-1.00318236211286,21,"FGF13;PIK3R1;GRB2;PIK3CA;FGF20;SOS1;FGFR3;FGF8"
"DNA Damage Recognition In GG-NER R-HSA-5696394",0.475968992248062,0.712122838401908,0.0686325631836726,-0.298740788748147,-0.992254608901657,35,"COPS4;RAD23B;COPS8;COPS7A;INO80;INO80C;INO80E;COPS5;DDB1;PARP2;UBB;COPS2;CETN2;CUL4B"
"HCMV Infection R-HSA-9609646",0.475471698113208,0.712122838401908,0.120433371642259,0.217697307183794,0.98712669371178,116,"DYNC1LI2;RNASE1;H2AC19;ITGB1;H2BC17;AAAS;MVB12B;KCNH8;H2BC18;RNASE7;H2AC6;NUP35;CHMP6;NUP210;NUP62;POM121C;H2AC1;NUP214;H2BC5;VPS37D;VPS25;NUP50;H2BC21;DYNC1I2;CEBPD"
"FGFR2 Alternative Splicing R-HSA-6803529",0.479885057471264,0.713408741489128,0.102080107662747,0.293802001505663,0.980608156495681,25,"HNRNPA1;POLR2L;GTF2F2;HNRNPH1;TIAL1;POLR2I;HNRNPF;NCBP1;PTBP1;ESRP2;POLR2J"
"FRS-mediated FGFR3 Signaling R-HSA-5654706",0.478609625668449,0.713408741489128,0.0978773277424561,0.313414484998127,0.987841537387604,19,"FGF1;PTPN11;FGF18"
"FRS-mediated FGFR4 Signaling R-HSA-5654712",0.479674796747967,0.713408741489128,0.0985499803531691,0.299069904217088,0.977712666872824,21,"FGF1;PTPN11;FGF18"
