row_index,ROI_ID,Scan_ID,disease_status,pathology,region
127,2613_C_004,BRC 2613 BRC 2509,AD-CAA,Amyloid,Parenchyma
128,2613_C_005,BRC 2613 BRC 2509,AD-CAA,Amyloid,Parenchyma
129,2613_C_006,BRC 2613 BRC 2509,AD-CAA,Amyloid,Parenchyma
130,2613_C_007,BRC 2613 BRC 2509,AD-CAA,Amyloid,Parenchyma
131,2613_D_001,BRC 2613 BRC 2509,AD-CAA,AmyloidFree,Arteries
132,2613_D_002,BRC 2613 BRC 2509,AD-CAA,AmyloidFree,Arteries
133,2613_D_003,BRC 2613 BRC 2509,AD-CAA,AmyloidFree,Arteries
134,2613_D_004,BRC 2613 BRC 2509,AD-CAA,AmyloidFree,Arteries
135,2613_D_005,BRC 2613 BRC 2509,AD-CAA,AmyloidFree,Arteries
136,2613_F_001,BRC 2613 BRC 2509,AD-CAA,AmyloidFree,Parenchyma
137,2613_F_002,BRC 2613 BRC 2509,AD-CAA,AmyloidFree,Parenchyma
138,2613_F_003,BRC 2613 BRC 2509,AD-CAA,AmyloidFree,Parenchyma
139,2495_A_001,BRC 2495 BRC 2052,AD-CAA,Amyloid,Arteries
140,2495_B_001,BRC 2495 BRC 2052,AD-CAA,Amyloid,Capillaries
141,2495_C_001,BRC 2495 BRC 2052,AD-CAA,Amyloid,Parenchyma
142,2495_C_002,BRC 2495 BRC 2052,AD-CAA,Amyloid,Parenchyma
143,2495_C_003,BRC 2495 BRC 2052,AD-CAA,Amyloid,Parenchyma
144,2495_F_001,BRC 2495 BRC 2052,AD-CAA,AmyloidFree,Parenchyma
