"region","celltype","contrast","full_estimate","full_p_adj","min_loo_estimate","max_loo_estimate","max_abs_delta","n_loo","any_sig_flip","any_direction_flip"
"Parenchyma","ExNeuron6","AD_Amyloid_vs_Control",0.863179892340897,0.00135147512119837,0.511077706527908,1.31406374359483,0.450883851253933,4,TRUE,FALSE
"Parenchyma","Fibroblast","AD_Amyloid_vs_Control",-0.597799974156843,0.000915849073032094,-1.04184730179672,-0.228462993228201,0.444047327639879,4,TRUE,FALSE
"Parenchyma","InhNeuron1","AD_Amyloid_vs_Control",0.794441211307468,0.000559346561913498,0.358972435200764,1.08421018261286,0.435468776106704,4,TRUE,FALSE
"Capillaries","ExNeuron3","AD_Amyloid_vs_Control",0.200646370489644,0.600779640234334,-0.118938431022974,0.623440637713,0.422794267223356,4,FALSE,TRUE
"Parenchyma","OPC3","AD_Amyloid_vs_Control",0.713144209052859,0.000559346561913498,0.51583150315004,1.13546994705478,0.422325738001917,4,TRUE,FALSE
"Capillaries","ExNeuron2","AD_Amyloid_vs_Control",0.986289441261082,0.000258959038028987,0.576707985866341,1.2552386829163,0.409581455394741,4,FALSE,FALSE
"Capillaries","ExNeuron10","AD_Amyloid_vs_Control",1.05827650834396,0.000141095428650618,0.654220913410837,1.31570635782964,0.40405559493312,4,FALSE,FALSE
"Capillaries","InhNeuron3","AD_Amyloid_vs_Control",1.06155272848694,0.000168114549035044,0.663768231886228,1.27872923576299,0.397784496600712,4,FALSE,FALSE
"Capillaries","ExNeuron8","AD_Amyloid_vs_Control",0.995898266589333,0.000141095428650618,0.601836142918857,1.22196205757649,0.394062123670476,4,FALSE,FALSE
"Parenchyma","InhNeuron5","AD_Amyloid_vs_Control",0.813467274090082,4.1112497606842e-05,0.421857027847077,1.09448870417164,0.391610246243005,4,TRUE,FALSE
"Capillaries","InhNeuron1","AD_Amyloid_vs_Control",0.943912823257252,0.000199742162759563,0.553110615669552,1.19737062635791,0.3908022075877,4,FALSE,FALSE
"Parenchyma","ExNeuron13","AD_Amyloid_vs_Control",0.800735448386793,7.1936888188888e-05,0.411519843086547,0.961943693522222,0.389215605300245,4,TRUE,FALSE
"Capillaries","ExNeuron9","AD_Amyloid_vs_Control",0.988449624573658,0.000155043100976794,0.604163265883314,1.20791294026825,0.384286358690344,4,FALSE,FALSE
"Capillaries","VLMC1","AD_Amyloid_vs_Control",1.07607852636541,0.000240381227295273,0.697222403620096,1.35845461290108,0.378856122745314,4,FALSE,FALSE
"Parenchyma","InhNeuron2","AD_Amyloid_vs_Control",0.781165624982299,6.3382105033813e-05,0.404835782216327,1.00431025764788,0.376329842765972,4,TRUE,FALSE
"Arteries","Microglia5","AD_Amyloid_vs_Control",1.12180434781716,1.32945880358434e-06,0.918446219566622,1.49607748573543,0.374273137918269,4,FALSE,FALSE
"Capillaries","Oligodendrocytes5","AD_Amyloid_vs_Control",1.13161222941943,0.0001537388239724,0.760545454578956,1.38398821020508,0.371066774840478,4,FALSE,FALSE
"Parenchyma","ExNeuron5","AD_Amyloid_vs_Control",0.778697736178098,0.000322695705842705,0.409989963447703,1.06564653970685,0.368707772730395,4,TRUE,FALSE
"Capillaries","InhNeuron5","AD_Amyloid_vs_Control",0.995704646114486,3.60809021158771e-05,0.628692932965733,1.24911787913561,0.367011713148753,4,FALSE,FALSE
"Parenchyma","Microglia5","AD_Amyloid_vs_Control",0.821099444878733,0.00135147512119837,0.454966544672006,1.16375259472977,0.366132900206727,4,TRUE,FALSE
"Capillaries","ExNeuron5","AD_Amyloid_vs_Control",0.93957053616614,0.000765571465822907,0.577356235061776,1.17307531923601,0.362214301104365,4,TRUE,FALSE
"Arteries","Astrocytes1","AD_Amyloid_vs_Control",0.938880896263618,0.000483750428425578,0.583854398726237,1.29970256403117,0.36082166776755,4,FALSE,FALSE
"Parenchyma","InhNeuron3","AD_Amyloid_vs_Control",0.701558491572619,0.000915849073032094,0.351019173397367,1.06076736922707,0.359208877654449,4,TRUE,FALSE
"Capillaries","Microglia3","AD_Amyloid_vs_Control",0.936593779593811,0.000155043100976794,0.582507017357346,1.18684110060263,0.354086762236465,4,FALSE,FALSE
"Parenchyma","Astrocytes4","AD_Amyloid_vs_Control",0.930166356404564,8.01306200196042e-05,0.580475096253695,1.11161552557409,0.34969126015087,4,TRUE,FALSE
"Capillaries","InhNeuron2","AD_Amyloid_vs_Control",0.889072813438945,0.000250107741721865,0.54125197517457,1.15061026430946,0.347820838264375,4,FALSE,FALSE
"Capillaries","Oligodendrocytes4","AD_Amyloid_vs_Control",0.952291375635898,0.000155043100976794,0.608685140318089,1.26568585137086,0.343606235317809,4,FALSE,FALSE
"Capillaries","ExNeuron12","AD_Amyloid_vs_Control",1.04763859892904,1.97543188877915e-05,0.704365942213022,1.25599802789243,0.343272656716021,4,FALSE,FALSE
"Parenchyma","ExNeuron2","AD_Amyloid_vs_Control",0.635023451496012,0.00365609146008533,0.292245704414958,0.963634114569707,0.342777747081053,4,TRUE,FALSE
"Arteries","Microglia4","AD_Amyloid_vs_Control",0.732432750396216,0.00481791530863742,0.392017732884292,0.972290471685377,0.340415017511924,4,TRUE,FALSE
"Capillaries","ExNeuron13","AD_Amyloid_vs_Control",1.0563743423073,2.06650691139172e-05,0.71713920359957,1.26609416667579,0.339235138707731,4,FALSE,FALSE
"Capillaries","InhNeuron4","AD_Amyloid_vs_Control",0.86643509998631,0.00026398201766814,0.527715818411627,1.11546392426283,0.338719281574683,4,FALSE,FALSE
"Parenchyma","OPC1","AD_Amyloid_vs_Control",0.631131214544387,0.000915849073032094,0.441642950509921,0.969761444700617,0.338630230156229,4,TRUE,FALSE
"Capillaries","ExNeuron11","AD_Amyloid_vs_Control",0.895326002625793,0.00128772008122799,0.560401684199307,1.11132204117798,0.334924318426486,4,TRUE,FALSE
"Capillaries","Astrocytes4","AD_Amyloid_vs_Control",1.45885979915078,1.84973467516208e-06,1.13228128051892,1.6806111236579,0.326578518631865,4,FALSE,FALSE
"Capillaries","Oligodendrocytes3","AD_Amyloid_vs_Control",1.01333076373182,0.000257256190095941,0.696922997038562,1.295731803373,0.316407766693254,4,FALSE,FALSE
"Parenchyma","ExNeuron10","AD_Amyloid_vs_Control",0.549000305872108,0.00995874239437323,0.233366118675378,0.854703819690375,0.31563418719673,4,TRUE,FALSE
"Arteries","Endothelial","AD_Amyloid_vs_Control",0.486023190333674,0.0801339709011578,0.237417787791794,0.798765180583297,0.312741990249624,4,TRUE,FALSE
"Capillaries","SMC","AD_Amyloid_vs_Control",1.14076821439955,9.32059190124736e-06,0.832966429874747,1.30499898179997,0.307801784524808,4,FALSE,FALSE
"Arteries","ExNeuron2","AD_Amyloid_vs_Control",1.06927178255826,9.24509345616268e-07,0.805297159440432,1.37451313417889,0.30524135162063,4,FALSE,FALSE
"Arteries","Oligodendrocytes6","AD_Amyloid_vs_Control",0.636431544155366,0.02385319045555,0.333586561528274,0.817361033564489,0.302844982627092,4,TRUE,FALSE
"Parenchyma","Microglia2","AD_Amyloid_vs_Control",0.485830961497242,0.024952020056309,0.313670238624086,0.788523141741367,0.302692180244125,4,TRUE,FALSE
"Arteries","Pericytes","AD_Amyloid_vs_Control",0.550704722941444,0.0426155170347632,0.266908126863236,0.853040428582372,0.302335705640927,4,TRUE,FALSE
"Capillaries","Astrocytes1","AD_Amyloid_vs_Control",1.11788470925218,0.00128772008122799,0.816099241278514,1.32583827730803,0.301785467973669,4,TRUE,FALSE
"Arteries","OPC1","AD_Amyloid_vs_Control",0.990625778126456,6.7917084255986e-08,0.799211606901494,1.29128867621224,0.300662898085786,4,FALSE,FALSE
"Parenchyma","ExNeuron9","AD_Amyloid_vs_Control",0.620013251568615,0.018340628713934,0.322686482617712,0.764312344926097,0.297326768950903,4,TRUE,FALSE
"Parenchyma","ExNeuron14","AD_Amyloid_vs_Control",0.872779220506496,3.06760225953018e-05,0.585811953879165,1.13044618690162,0.286967266627331,4,FALSE,FALSE
"Arteries","OPC2","AD_Amyloid_vs_Control",0.879375514388013,3.49558169646098e-06,0.705247252417772,1.16569372374792,0.286318209359903,4,FALSE,FALSE
"Arteries","OPC3","AD_Amyloid_vs_Control",1.01133114699404,7.593043070536e-08,0.77372422534498,1.29487743776265,0.283546290768603,4,FALSE,FALSE
"Parenchyma","ExNeuron7","AD_Amyloid_vs_Control",0.729831619271287,0.0050568552624313,0.521220227016808,1.01322572562394,0.283394106352649,4,TRUE,FALSE
"Capillaries","ExNeuron6","AD_Amyloid_vs_Control",0.570436739108718,0.0668710542318668,0.310545465178559,0.851071572295746,0.280634833187028,4,TRUE,FALSE
"Arteries","VLMC2","AD_Amyloid_vs_Control",0.719252940199619,0.00226521716782453,0.442315585269135,0.900199711382429,0.276937354930484,4,TRUE,FALSE
