"pathway","pval","padj","log2err","ES","NES","size","leadingEdge"
"Uptake And Actions Of Bacterial Toxins R-HSA-5339562",1.60166563268951e-06,1.19053744799278e-05,0.643551836150722,0.674409768521301,2.35426747544177,28,"SNAP25;SYT1;VAMP2;CALM1;MAP2K1;HSP90AB1;SV2B;STX1A;MAP2K4;SV2A;VAMP1;FURIN;MAP2K2"
"Eukaryotic Translation Termination R-HSA-72764",1.64459026762207e-06,1.21470686222465e-05,0.643551836150722,0.464968829721899,2.1069580243811,89,"RPL31;RPL41;RPS21;RPS15;RPL35A;RPS25;RPL10A;RPL38;RPS4Y1;FAU;RPL23;RPL15;RPL14;RPL4;RPL37A;RPL9;RPL26;RPS20;RPS14;RPS11;RPS24;RPL27;TRMT112;RPLP1;RPL18;RPS4X;RPS3A;RPL36A;RPL7A;RPS7;RPL39L;RPS8;RPL35;RSL24D1;RPL28;RPS9;RPS29;RPS27L;RPS12;UBA52;RPL6"
"Acetylcholine Neurotransmitter Release Cycle R-HSA-264642",1.67960522258026e-06,1.22506205921948e-05,0.643551836150722,0.792139788718763,2.42178685243479,17,"STXBP1;SNAP25;SYT1;RAB3A;VAMP2;STX1A;CPLX1;TSPOAP1;PPFIA2;PPFIA4;RIMS1"
"CLEC7A (Dectin-1) Signaling R-HSA-5607764",1.6737967122895e-06,1.22506205921948e-05,0.643551836150722,0.457860828026244,2.10352400923552,98,"CALM1;AHCYL1;PPP3R1;SKP1;PPP3CB;PSMD7;PSMD2;PPP3CA;PSMA1;UBE2D2;PSMD8;ITPR1;PSMC5;PSMC3;PSMB7;SEM1;UBE2M;PSMA5;PSMB3;PSMB5;PSMD14;PSMB2;UBE2V1;BTRC;UBE2N;CUL1;PSMD3;UBB;PSMC2;PSMF1;PSMB6;PSMA3;PSMC4;PSMA4;PSMC1;CDC34;PSMC6"
"Viral mRNA Translation R-HSA-192823",1.73545070812579e-06,1.25793228346757e-05,0.643551836150722,0.463474862338884,2.10018826614227,89,"RPL31;RPL41;RPS21;RPS15;RPL35A;RPS25;RPL10A;RPL38;RPS4Y1;FAU;RPL23;RPL15;RPL14;RPL4;RPL37A;RPL9;RPL26;RPS20;RPS14;RPS11;RPS24;RPL27;RPLP1;RPL18;RPS4X;RPS3A;RPL36A;RPL7A;RPS7;RPL39L;RPS8;RPL35;RSL24D1;BLOC1S6;RPL28;RPS9;GNL3;RPS29;RPS27L;RPS12;UBA52;RPL6"
"Immunoregulatory Interactions Between A Lymphoid And A non-Lymphoid Cell R-HSA-198933",1.86610451306104e-06,1.3442863992236e-05,0.643551836150722,-0.430013030303466,-2.02821906214434,115,"CD300LF;CD8A;ULBP3;ICAM2;CD99;CD300C;CD3D;CLEC1B;CD1E;NCR3;KIR3DL1;TARP;HLA-G;CLEC4G;HCST;CD226;MICB;CD300LD;TREML1;TYROBP;CD247;FCGR2B;FCGR1A;HLA-E;ULBP1;SIGLEC5;ITGB1;LILRA4;IFITM1;SH2D1A;SLAMF7;CD3E;CD160;LILRB4;CD300LG;JAML;SIGLEC10;TREML2;KIR2DS2;ITGAL;SH2D1B;KIR2DS1;LAIR1;ITGA4;LILRB2;VCAM1;SELL;CD300LB;C3;LILRA6;RAET1E;CD40;SIGLEC9;HLA-C;CD33;CD40LG"
"Formation Of Ternary Complex, And Subsequently, 43S Complex R-HSA-72695",1.91344994517035e-06,1.36993624908822e-05,0.627256739718528,0.568743464544043,2.30047730617843,50,"EIF3C;EIF3K;RPS21;RPS15;EIF1AX;RPS25;EIF3L;EIF3I;RPS4Y1;FAU;RPS20;RPS14;RPS11;RPS24;EIF3E;EIF3G;RPS4X;RPS3A;EIF3M;EIF3H;RPS7;RPS8;EIF3A;RPS9;RPS29;RPS27L;RPS12"
"NIK To Noncanonical NF-kB Signaling R-HSA-5676590",2.02754622580776e-06,1.44277222287662e-05,0.627256739718528,0.543534475382068,2.24601237864824,57,"SKP1;PSMD7;PSMD2;PSMA1;PSMD8;PSMC5;PSMC3;PSMB7;SEM1;UBE2M;PSMA5;PSMB3;PSMB5;PSMD14;PSMB2;BTRC;CUL1;PSMD3;UBB;PSMC2;PSMF1;PSMB6;PSMA3;PSMC4;PSMA4;PSMC1;PSMC6"
"Vasopressin Regulates Renal Water Homeostasis Via Aquaporins R-HSA-432040",2.04453712085584e-06,1.44604534547804e-05,0.627256739718528,0.606006447474962,2.33857954801464,42,"PRKAR1B;AQP4;GNB1;GNAS;ADCY1;PRKAR1A;GNG7;GNG2;PRKACB;PRKCA;PRKAR2B;ADCY2;RAB11A;GNG3;GNB2"
"Mitotic Anaphase R-HSA-68882",2.27561826878568e-06,1.59978706004391e-05,0.627256739718528,0.35829247871957,1.86059707885566,224,"TUBA4A;TUBA1C;DYNLL1;DYNC1H1;TUBB2A;TUBB4A;PAFAH1B1;TUBB2B;PPP2CB;TUBB4B;PPP2CA;PSMD7;PSMD2;RANGAP1;PSMA1;PPP1CC;RAN;PSMD8;ANAPC5;NUDC;PSMC5;PSMC3;PSMB7;SEM1;PPP2R5B;DYNLL2;PPP2R1A;DYNC1I1;SUMO1;CHMP4B;TUBA8;CDC16;SIRT2;PSMA5;SEH1L;PSMB3;PPP2R5C;KPNB1;TAOK1;IST1;VPS4A;RANBP2;PSMB5;PSMD14;CENPT;UBE2E1;ANAPC11;PSMB2;CLIP1;ANAPC16;PDS5B;NUP98;PPP2R2A;CLASP2;BUB3;PSMD3;UBB;PSMC2;PSMF1;BANF1;PSMB6;PPP2R5D;BIRC5;CHMP2B;PSMA3;PSMC4;PSMA4;PPP2R1B;PSMC1;NUP205;TNPO1;CDC27;KANSL1;PSMC6"
