,Astrocytes1,Astrocytes2,Astrocytes3,Astrocytes4,Astrocytes5,Endothelial,ExNeuron1,ExNeuron10,ExNeuron11,ExNeuron12,ExNeuron13,ExNeuron14,ExNeuron2,ExNeuron3,ExNeuron4,ExNeuron5,ExNeuron6,ExNeuron7,ExNeuron8,ExNeuron9,Fibroblast,InhNeuron1,InhNeuron2,InhNeuron3,InhNeuron4,InhNeuron5,Microglia1,Microglia2,Microglia3,Microglia4,Microglia5,OPC1,OPC2,OPC3,Oligodendrocytes1,Oligodendrocytes2,Oligodendrocytes3,Oligodendrocytes4,Oligodendrocytes5,Oligodendrocytes6,Oligodendrocytes7,Oligodendrocytes8,Pericytes,SMC,VLMC1,VLMC2
ExNeuron13,0.8086653525215579,0.7564070960073946,0.7973212494966058,0.8025795122169527,0.7800505988550122,0.7432661422773644,0.9302314379426369,0.9659521647999052,0.8538050033277503,0.9675213355345937,0.9989593858560442,0.8615866032694169,0.9586067898466156,0.9713757026618774,0.9538781457822065,0.9310599653320994,0.9413343981195469,0.9497032757126264,0.9548252352522775,0.9389560196296949,0.07353194055156542,0.9201517589857271,0.9125747059275655,0.9217210702046118,0.8980786139315967,0.9258351941067048,0.7512720077096852,0.6770616005191542,0.7020952542573129,0.7438054997868827,0.2292453340778301,0.8386350868034704,0.8364919353745396,0.8073679597010126,0.7238008201450777,0.7849343151338956,0.611540335049424,0.8032508316543822,0.4677046878066117,0.7030050465888145,0.8001534147452228,0.47753342149175165,0.6431705553715904,0.5262852513248585,0.5840402693223363,0.5908486573618223
ExNeuron14,0.7758242929502813,0.8113984688326112,0.8392530423810485,0.8819878038798761,0.8154665492911309,0.8329504241671444,0.8125086983908981,0.8405709426082071,0.894937967491672,0.8366429609435471,0.8618317868252049,0.9977275863491304,0.8680086354459589,0.8651919356329413,0.8772645357973733,0.7538851801256944,0.8148218611408634,0.8572127807648526,0.8505342371015624,0.8927825817716877,0.30032289823496855,0.8294758890116529,0.8652713003267308,0.8388045371463431,0.8640321580124823,0.8900392967916773,0.7658936981610961,0.7665617961493364,0.8358204031251936,0.8308997070585106,0.46518221007878835,0.8306914799569339,0.8956022505841251,0.8364976012059636,0.6325683802580632,0.7257563832296838,0.8234011260051353,0.8789109194422647,0.7151673114039592,0.8442166035375508,0.7984787646877266,0.7156347150259798,0.7908080919052511,0.7453041523243189,0.7617002960773909,0.7910654780432862
ExNeuron2,0.799601176971795,0.7543996386756154,0.8016019477577562,0.8057862472873759,0.78172049711181,0.7461792700695072,0.9183392714877442,0.9661293452262437,0.879889256591561,0.9562465096917951,0.958669494475558,0.8678590735474166,0.9987689473554314,0.9620799926028553,0.9548208662222831,0.9400513233516049,0.9545625124499668,0.9503211522089429,0.9693089637605637,0.9417706670039484,0.08649274210966144,0.917382334138068,0.9115742046709125,0.9185104072754708,0.8999987376581642,0.9235180493545314,0.7412422392333798,0.6742921304095904,0.7059793974715021,0.7475685721603493,0.24090440230311377,0.8375760017603497,0.8443285514334063,0.803132503372581,0.7158891481335247,0.7680912962473777,0.6196783348740664,0.8074538212660908,0.48051254052289516,0.7091023315522452,0.785013082801024,0.49372646644217805,0.6450016390469597,0.5358878150956055,0.5928041271530364,0.6049919598446735
ExNeuron3,0.8054380929429081,0.76137769014992,0.7985977499440688,0.800650122560469,0.7771041461394219,0.7443272805455516,0.9313806093017707,0.9617117330872894,0.8533000386150486,0.9594108311677481,0.9713194921916255,0.8651809125634042,0.9620677909478659,0.9988882771534595,0.9704841195962016,0.9313327860139119,0.9627522118384207,0.9508160026470283,0.9622592791063664,0.939654226105377,0.05401456187627582,0.9270638625034497,0.9127101215736814,0.9247149794057005,0.9000317274568158,0.9253008106693951,0.7506003264843555,0.6816452454671575,0.7013232591045565,0.7460569655590831,0.21428247788120455,0.8414138819044458,0.8380177148400401,0.8024495610363651,0.7322454781216078,0.7978681542671708,0.6052301615134663,0.8055859840063596,0.4590849139035113,0.7046261426362614,0.7988949857245093,0.47070630079601705,0.6426182388393606,0.5214936142945348,0.5793485920093985,0.5881147335953827
ExNeuron4,0.8114721698392566,0.7761930946576364,0.8168574529174311,0.8177703853523437,0.7910980018449623,0.7629854266802522,0.9257692783512196,0.9587543341166135,0.8574771226168355,0.9677304232675606,0.953911986375344,0.8769910667550544,0.954641128771551,0.9704923344118319,0.9986844040191941,0.9101191188950405,0.948411628953956,0.9575872897353127,0.9603025503184296,0.9412414881549356,0.07677432160393038,0.9282921358420788,0.9170941125202947,0.9253559062556157,0.9101478128490967,0.9335523805823461,0.7582744214698278,0.6961545715143351,0.7204008640342188,0.7674007214103528,0.23953710100827136,0.851478943467999,0.8585644759252979,0.8172220353798798,0.7328785905280785,0.8006560481219895,0.6359040634805376,0.8286886058092067,0.4927561973428581,0.7330508001798056,0.8112140738363164,0.5025555302501622,0.6623172712982062,0.546579934307165,0.6016516374030121,0.6165188955909033
ExNeuron5,0.7520608600715643,0.6587667991753435,0.7114559416645878,0.6891792048386828,0.6875527277658099,0.6277354755206457,0.9334866663690612,0.9398657615845024,0.8057232622510232,0.9415644856238042,0.9308897699503648,0.7536307681214376,0.9399409456543462,0.9313256638494494,0.9100513938283326,0.9992971160132103,0.9675175752861098,0.9213019932244648,0.941354536374005,0.8822723032390527,-0.05075554455303606,0.8947168964611069,0.858755279803002,0.893141925371811,0.8393077623159333,0.8576029134671469,0.6576971492994951,0.5586634046800666,0.5716560841148451,0.6369901559410793,0.0882053684141528,0.7717304617541874,0.7432227313920843,0.7172520813314776,0.7577571718438461,0.7811405218562398,0.46969700986751,0.6913912959650808,0.3213257747319866,0.5761895955385449,0.736258344556846,0.34420722168613066,0.5124057025402587,0.3805072070403664,0.4542607571877793,0.4672648291365036
ExNeuron6,0.7890532494878155,0.721579502513478,0.768338735870789,0.7525715382500588,0.7414641726866835,0.6970744054018724,0.9414278329296113,0.9477758429673476,0.8383489870230317,0.9453108579963477,0.9414155373507922,0.8146553351239981,0.9545883564161847,0.9627847961082265,0.9483803607239852,0.9676139746304653,0.9991336230722951,0.9444969097202658,0.962902612037271,0.9210313828967124,-0.002963377263194921,0.9201236377128361,0.8934015058788168,0.919203599800905,0.8796642121947956,0.8952330564072153,0.7132424631631619,0.6298346112955113,0.6429791471860914,0.7060316025843252,0.15012529204579428,0.8209720606160594,0.8029536198956445,0.7697835903210363,0.7606479591939734,0.8101386279006523,0.547331835494449,0.7635089864903835,0.39961936373834167,0.6577848135362342,0.7862306552304656,0.41497060910358113,0.5857917455604899,0.45582953712113766,0.522054854647088,0.5367598370413493
ExNeuron7,0.825699052516089,0.7713250335179406,0.8213268800072153,0.8149942663192355,0.7967195163001964,0.7601113151830104,0.9444347856869276,0.9548738899263639,0.8512485472718004,0.955929121562597,0.9497049214610921,0.8572739414714777,0.9503224698648962,0.9510090296853981,0.957608011603022,0.9212366273509863,0.9444220410904739,0.998912487710093,0.9594216846259616,0.9459776764648694,0.0915423504871211,0.9337625192177158,0.9275812514030696,0.9401652162347054,0.9130163766274637,0.9383718945532459,0.7674887060797271,0.6913461492379235,0.7151863144255548,0.7673561395043457,0.24511043704095417,0.8630185842368227,0.8587754815245888,0.8236206917522265,0.7508485924376057,0.813048017489465,0.6283163803722533,0.8266340713626703,0.4884623946163835,0.7263451986436865,0.8249107727675568,0.4985719675907515,0.656348362172286,0.5422153794202405,0.5986998992055613,0.6114684193485488
ExNeuron8,0.7975775092070458,0.745264420610568,0.7933923158812757,0.7891713925569028,0.7687384499601994,0.7294201532469229,0.9344339597932445,0.962959865477722,0.860126899085682,0.9599337364776064,0.9548412487695979,0.8504999689469355,0.9692697545204387,0.9623261387142781,0.9602606982405999,0.9414024176804955,0.9627490771086641,0.9593513871366467,0.998907928210237,0.9459750049688117,0.04770950678102345,0.9211547056289932,0.9054991619250706,0.9206689330210716,0.8966302781797582,0.9166287823241415,0.7344356425295169,0.6616370268221696,0.685110892838937,0.7379058732522501,0.20454319711345262,0.8341225761072755,0.8315575338931714,0.7934314428828199,0.7374627460154077,0.7870548254913436,0.5969481242656727,0.7962618356752219,0.4522884306838646,0.6962188550328021,0.7894567377932907,0.4646010477921289,0.6257254654997716,0.5065006380373025,0.5690256327787357,0.5827645752308239
ExNeuron9,0.8312772572484664,0.8064326596188173,0.8455970231471533,0.8618162775054705,0.8270446927180377,0.8056470312518135,0.9227080004117398,0.924832019542698,0.8739237760785559,0.9273569194501031,0.9389197250552442,0.8926604311177834,0.941673547297016,0.9397159401796107,0.9411927836116579,0.8824021692062868,0.9209523851258018,0.9459670181680914,0.9459296731160598,0.9986940510614343,0.1631473623791661,0.9129291830630001,0.9241875513128843,0.9205593333269488,0.9143801284295882,0.9369374909898396,0.7984376962274954,0.7433544539274356,0.773388449538822,0.8085866524173212,0.32260023983574226,0.8713993055381793,0.8870123351987451,0.8498456977983262,0.713600506534146,0.7947958872962646,0.6923814629547691,0.8658823959981695,0.5591533295139124,0.7811491068195195,0.8360758388568689,0.5618402247168665,0.7159628472684207,0.611752781132928,0.6583752486995096,0.6657752206536042
