Scan Name,ROI,Segment (Name/ Label),Segment Tags,Custom Segment Name,LOT_Human_NGS_Whole_Transcriptome_Atlas_RNA_1_0,ROI_ID,Scan_ID,disease_status,pathology,region,AnnData_ROI,celltype,rel_abundance
BRC 2613 BRC 2509,129,Full ROI,,,HW0110125,2509_D 002,BRC 2613 BRC 2509,AD-CAA,AmyloidFree,Arteries,129,Oligodendrocytes4,0.027718605
BRC 2613 BRC 2509,130,Full ROI,,,HW0110125,2509_D 003,BRC 2613 BRC 2509,AD-CAA,AmyloidFree,Arteries,130,Oligodendrocytes4,0.032275647
BRC 2613 BRC 2509,131,Full ROI,,,HW0110125,2509_D 004,BRC 2613 BRC 2509,AD-CAA,AmyloidFree,Arteries,131,Oligodendrocytes4,0.038052786
BRC 2613 BRC 2509,132,Full ROI,,,HW0110125,2509_D 005,BRC 2613 BRC 2509,AD-CAA,AmyloidFree,Arteries,132,Oligodendrocytes4,0.011272808
BRC 2613 BRC 2509,133,Full ROI,,,HW0110125,2509_D 006,BRC 2613 BRC 2509,AD-CAA,AmyloidFree,Arteries,133,Oligodendrocytes4,0.011537701
BRC 2613 BRC 2509,134,Full ROI,,,HW0110125,2509_D 007,BRC 2613 BRC 2509,AD-CAA,AmyloidFree,Arteries,134,Oligodendrocytes4,0.029320166
BRC 2613 BRC 2509,135,Full ROI,,,HW0110125,2509_E,BRC 2613 BRC 2509,AD-CAA,AmyloidFree,Capillaries,135,Oligodendrocytes4,0.019401293
BRC 2613 BRC 2509,136,Full ROI,,,HW0110125,2509_E 002,BRC 2613 BRC 2509,AD-CAA,AmyloidFree,Capillaries,136,Oligodendrocytes4,0.04316998
BRC 2613 BRC 2509,137,Full ROI,,,HW0110125,2509_E 003,BRC 2613 BRC 2509,AD-CAA,AmyloidFree,Capillaries,137,Oligodendrocytes4,-0.045399122
BRC 2613 BRC 2509,138,Full ROI,,,HW0110125,2509_E 004,BRC 2613 BRC 2509,AD-CAA,AmyloidFree,Capillaries,138,Oligodendrocytes4,-0.026393063
BRC 2613 BRC 2509,139,Full ROI,,,HW0110125,2509_E 005,BRC 2613 BRC 2509,AD-CAA,AmyloidFree,Capillaries,139,Oligodendrocytes4,-0.02155179
BRC 2613 BRC 2509,140,Full ROI,,,HW0110125,2509_F,BRC 2613 BRC 2509,AD-CAA,AmyloidFree,Parenchyma,140,Oligodendrocytes4,0.02227886
