ROI_ID,Scan Name,Segment (Name/ Label),Segment Tags,Custom Segment Name,LOT_Human_NGS_Whole_Transcriptome_Atlas_RNA_1_0,GeoMx_ROI_ID,Scan_ID,disease_status,pathology,region,Astrocytes1,Astrocytes2,Astrocytes3,Astrocytes4,Astrocytes5,Endothelial,ExNeuron1,ExNeuron10,ExNeuron11,ExNeuron12,ExNeuron13,ExNeuron14,ExNeuron2,ExNeuron3,ExNeuron4,ExNeuron5,ExNeuron6,ExNeuron7,ExNeuron8,ExNeuron9,Fibroblast,InhNeuron1,InhNeuron2,InhNeuron3,InhNeuron4,InhNeuron5,Microglia1,Microglia2,Microglia3,Microglia4,Microglia5,OPC1,OPC2,OPC3,Oligodendrocytes1,Oligodendrocytes2,Oligodendrocytes3,Oligodendrocytes4,Oligodendrocytes5,Oligodendrocytes6,Oligodendrocytes7,Oligodendrocytes8,Pericytes,SMC,VLMC1,VLMC2
2534_D_002,BRC 2534 BRC 2732,Full ROI,,,HW0110125,2534_D 002,BRC 2534 BRC 2732,AD-CAA,AmyloidFree,Arteries,0.056353282,0.04855634,0.14561355,0.10099651,0.06905444,1.7695956,0.073444836,0.41785643,0.14250892,0.09190573,0.12905587,0.12708524,0.31603494,0.049494702,0.053465135,0.11627269,0.06285904,0.07473181,0.07401606,0.1076436,22.24056,0.12779175,0.16150293,0.22927254,0.076019906,0.10007725,0.5594963,0.40364793,0.20703913,1.6216208,3.9013417,0.5060438,0.3722962,0.25926873,0.87763065,0.29383442,0.5652216,1.2670306,2.4477286,1.288327,3.672589,0.26957378,0.25381696,0.30141583,0.5617156,0.49816224
2534_D_003,BRC 2534 BRC 2732,Full ROI,,,HW0110125,2534_D 003,BRC 2534 BRC 2732,AD-CAA,AmyloidFree,Arteries,0.1571448,0.31432918,0.37446076,0.11935722,0.39614198,17.839996,0.13114665,0.60586107,0.66241616,0.24116048,0.22927855,0.23219626,0.6404231,0.14011869,0.15234116,0.44059664,0.29754427,0.096175134,0.106360525,0.11225696,51.296074,0.38000038,0.26843855,0.22797424,0.45885998,0.1800444,3.109941,0.5105928,0.19783787,0.63553405,8.644001,0.98867244,0.41372553,0.44267824,1.1024442,0.50725317,0.15560438,0.29896122,0.45056534,0.22725281,0.5552045,0.78214717,6.586587,0.43151838,3.4260092,1.1780022
2534_D_004,BRC 2534 BRC 2732,Full ROI,,,HW0110125,2534_D 004,BRC 2534 BRC 2732,AD-CAA,AmyloidFree,Arteries,0.27532372,0.8099655,0.85788643,0.3058837,0.58881724,8.647023,0.24021477,0.9670265,1.5437163,0.3337685,0.29210442,0.39606655,0.6568773,0.17154053,0.21624966,0.6888121,0.36609265,0.12480929,0.17273797,0.1710216,64.12613,0.6562782,0.36153606,0.6642506,0.38590202,0.25076705,3.3602192,0.977847,0.79698485,1.8910224,12.018981,0.82840955,0.88656586,0.8786477,2.6666887,2.1757715,0.96537864,1.0025047,0.79939127,1.967469,5.406748,1.1668282,4.7510443,1.3502243,3.6456358,2.8921158
2534_D_005,BRC 2534 BRC 2732,Full ROI,,,HW0110125,2534_D 005,BRC 2534 BRC 2732,AD-CAA,AmyloidFree,Arteries,0.037817713,0.06433597,0.08466348,0.07563501,0.05301463,0.2227271,0.06335264,0.041905567,0.06857814,0.042058673,0.042361606,0.06524361,0.043884296,0.038928665,0.039841395,0.058747917,0.057124857,0.042156562,0.038341794,0.061756615,7.974781,0.05859367,0.08162831,0.048270952,0.18169336,0.049630664,0.1514203,0.22471803,0.117048085,0.25610974,2.2233346,0.10666661,0.16159537,0.14890568,0.35613695,0.31531385,0.22841246,0.3414982,0.5090292,0.65915567,0.33686188,0.270223,0.3051023,0.41181755,0.5339734,0.35877818
2534_D_006,BRC 2534 BRC 2732,Full ROI,,,HW0110125,2534_D 006,BRC 2534 BRC 2732,AD-CAA,AmyloidFree,Arteries,0.069960944,0.10701898,0.18265027,0.1007285,0.10989297,4.8044596,0.15263823,0.23853141,0.26128843,0.18066214,0.1809186,0.19695604,0.25911435,0.12105111,0.111846484,0.2622597,0.13636668,0.10585787,0.123910196,0.17086609,21.690058,0.19311272,0.3686267,0.10928433,0.2066511,0.14109264,1.1668171,1.4746207,0.31979042,0.9190137,2.665188,0.18003136,0.21487582,0.18539126,2.7395253,2.5814915,0.18643127,0.26040256,0.3572348,0.8549505,5.8221273,1.5405773,0.76506156,0.24494024,0.23052846,0.793501
2534_D_007,BRC 2534 BRC 2732,Full ROI,,,HW0110125,2534_D 007,BRC 2534 BRC 2732,AD-CAA,AmyloidFree,Arteries,0.110277586,0.09769244,0.41138753,0.16684227,0.5220581,0.2663939,0.12654817,0.3354783,0.40261543,0.19214925,0.21431597,0.21381885,0.42722347,0.08178759,0.080523536,0.23708056,0.09552407,0.08869063,0.13197872,0.13022009,29.887033,0.24371718,0.40818027,0.25824648,0.26334167,0.29273537,0.59289044,0.9417246,0.61055887,2.9353595,3.940918,1.1643417,1.0122843,0.9005252,5.82247,0.82815784,0.85506606,0.61440986,1.0212111,5.3059154,4.134711,0.7292237,0.15736939,0.29040316,0.45551458,0.8521096
2534_D_008,BRC 2534 BRC 2732,Full ROI,,,HW0110125,2534_D 008,BRC 2534 BRC 2732,AD-CAA,AmyloidFree,Arteries,0.03516052,0.030929249,0.059526443,0.06563361,0.047744136,0.99134576,0.07758407,0.05770776,0.09753102,0.077119775,0.05546946,0.06821143,0.061215814,0.051378258,0.0635582,0.08295225,0.07169998,0.073410474,0.04848056,0.070796,7.705219,0.076367915,0.12319101,0.07937262,0.06660307,0.08060632,0.19646695,0.26970828,0.1562032,0.15588725,1.5846214,0.114532344,0.10759677,0.1175387,0.16836631,0.13423575,0.2514025,0.29966864,0.27874613,0.16579896,0.16821626,0.2568509,0.2964136,0.22882584,0.2040852,0.15399624
2534_E_001,BRC 2534 BRC 2732,Full ROI,,,HW0110125,2534_E,BRC 2534 BRC 2732,AD-CAA,AmyloidFree,Capillaries,0.97266173,2.8276274,0.04692638,0.5652321,0.13556339,0.9164366,2.649598,0.023080325,0.1258384,0.1994058,0.10416809,0.09394849,0.027015513,5.8978934,2.8890176,0.077511005,0.5704143,0.8560779,0.14949855,0.075428136,13.152617,0.07109175,0.12973838,0.05879613,0.09138543,0.07433889,0.09877732,0.2484623,0.23457858,0.04284908,0.41908386,0.034161247,0.036101528,0.040912777,0.034803636,0.23058456,0.09854616,0.037453357,0.06271082,0.04408205,0.0914808,0.66615665,0.08602945,0.12719698,0.05197282,0.072543114
2534_E_002,BRC 2534 BRC 2732,Full ROI,,,HW0110125,2534_E 002,BRC 2534 BRC 2732,AD-CAA,AmyloidFree,Capillaries,0.071625344,0.04960912,0.21063437,0.10673669,0.11301571,0.08645623,0.07312166,0.18049063,0.32103565,0.07900803,0.072244585,0.1003459,0.24820204,0.041297533,0.05140758,0.15937673,0.0726418,0.066321425,0.0673806,0.07932132,21.409294,0.17825991,0.22099316,0.38018078,0.18224704,0.17004946,0.32644576,0.33061332,0.22400495,1.3229429,3.6974363,0.44957164,0.40027478,0.32636264,3.7346194,0.26112196,0.45025864,1.3342174,2.0199342,3.7361574,0.9301206,0.759519,0.12297227,0.35081956,0.3091791,0.2040663
2534_E_003,BRC 2534 BRC 2732,Full ROI,,,HW0110125,2534_E 003,BRC 2534 BRC 2732,AD-CAA,AmyloidFree,Capillaries,0.05008083,0.040249243,0.17405418,0.12219005,0.14429916,0.9591333,0.090050146,0.43254513,0.40868568,0.13786,0.12629457,0.18783414,0.473087,0.043816548,0.059399627,0.22721225,0.07247023,0.068426624,0.075498916,0.13840127,27.158333,0.14043719,0.3729103,0.3072461,0.15967901,0.23921904,0.769092,0.43634844,0.50702286,0.61992097,3.7698705,0.30803093,0.38521776,0.31064618,0.48401895,0.13908137,0.735132,5.9450727,2.7806017,3.1754835,0.4047899,0.37456262,0.20644663,0.73796266,0.55533147,0.15584596
2534_E_004,BRC 2534 BRC 2732,Full ROI,,,HW0110125,2534_E 004,BRC 2534 BRC 2732,AD-CAA,AmyloidFree,Capillaries,0.20219855,0.248503,0.759551,0.19238171,0.3846878,1.360302,0.17806585,0.3488279,0.32400838,0.36877543,0.3721803,0.37018612,0.4041938,0.2592291,0.32188144,0.22637296,0.2405566,0.41838375,0.17880803,0.17512923,32.15346,0.32619905,0.4614832,0.22896847,0.18524896,0.3236607,0.7638781,1.2385353,0.29719666,2.618023,1.5370653,0.25174493,0.5513875,0.3402012,6.7326317,3.5190873,0.52417874,0.64235836,0.6882643,1.5280464,11.195804,1.5996742,0.4313073,0.3861692,0.559326,1.1839179
2534_F_001,BRC 2534 BRC 2732,Full ROI,,,HW0110125,2534_F,BRC 2534 BRC 2732,AD-CAA,AmyloidFree,Parenchyma,0.12336998,0.12634291,0.51484627,0.14437322,0.39367348,0.23148263,0.10650717,0.6685956,0.30878115,0.13242775,0.23666348,0.22467813,0.48365557,0.06420981,0.06699276,0.2443343,0.10118947,0.088704355,0.092775136,0.20054018,34.320667,0.5472915,0.29143044,0.3190433,0.18460667,0.3172703,1.1372807,0.3406087,0.4340008,2.8421042,6.151061,0.445831,0.64020497,0.44601077,4.6302176,0.48692623,1.9778786,1.383698,1.9550881,4.324047,1.7581335,0.7726911,0.30664417,0.4608772,0.84733194,0.53671885
2534_F_002,BRC 2534 BRC 2732,Full ROI,,,HW0110125,2534_F 002,BRC 2534 BRC 2732,AD-CAA,AmyloidFree,Parenchyma,0.039921835,0.04620323,0.09486111,0.073618405,0.05936136,0.19388922,0.123115666,0.10240951,0.24093884,0.10238497,0.16561498,0.2037225,0.095899686,0.11497567,0.1056551,0.1401223,0.10990018,0.09479324,0.075882554,0.111579634,12.520238,0.09754991,0.13035063,0.10779201,0.10772064,0.1549087,0.24462089,0.26583374,0.16025588,0.73946226,2.4171822,0.17643073,0.20495391,0.18074718,2.8337998,0.69252294,0.3200003,0.4704024,0.3285036,1.6906865,2.2669404,0.64202267,0.1757761,0.30696723,0.10742683,0.33725697
2534_F_003,BRC 2534 BRC 2732,Full ROI,,,HW0110125,2534_F 003,BRC 2534 BRC 2732,AD-CAA,AmyloidFree,Parenchyma,0.29581207,0.5093858,0.8720341,0.3607586,1.7683548,0.8409637,0.2976611,1.204463,0.44267443,0.5408578,0.87745255,0.78154564,0.35722634,0.6468231,0.7087288,0.2743794,0.4659781,0.21190928,0.20487346,0.34224102,48.237873,0.29162684,0.38950944,0.2947614,0.4437111,0.786454,2.432995,2.7303371,0.49947912,2.3851974,5.8092217,0.6871065,0.919306,0.60347104,4.9822083,5.6140337,1.0205166,0.7346627,0.7674609,2.647964,17.844103,2.86884,0.75505626,0.6105232,0.52994794,1.7332802
