ROI,Scan_ID,disease_status,pathology,region,celltype,rel_abundance
143,BRC 2613 BRC 2509,AD-CAA,AmyloidFree,Parenchyma,Oligodendrocytes4,-0.021487443
144,BRC 2613 BRC 2509,AD-CAA,AmyloidFree,Parenchyma,Oligodendrocytes4,0.031683385
145,BRC 2613 BRC 2509,AD-CAA,AmyloidFree,Parenchyma,Oligodendrocytes4,-0.019454045
146,BRC 2613 BRC 2509,AD-CAA,AmyloidFree,Parenchyma,Oligodendrocytes4,0.032079645
147,BRC 2613 BRC 2509,AD-CAA,Amyloid,Capillaries,Oligodendrocytes4,0.026941631
148,BRC 2613 BRC 2509,AD-CAA,Amyloid,Capillaries,Oligodendrocytes4,0.025922952
149,BRC 2613 BRC 2509,AD-CAA,Amyloid,Capillaries,Oligodendrocytes4,0.023097655
150,BRC 2613 BRC 2509,AD-CAA,Amyloid,Capillaries,Oligodendrocytes4,0.028463388
151,BRC 2613 BRC 2509,AD-CAA,Amyloid,Capillaries,Oligodendrocytes4,0.022979548
152,BRC 2613 BRC 2509,AD-CAA,Amyloid,Capillaries,Oligodendrocytes4,0.018848198
153,BRC 2613 BRC 2509,AD-CAA,Amyloid,Parenchyma,Oligodendrocytes4,0.029394465
154,BRC 2613 BRC 2509,AD-CAA,Amyloid,Parenchyma,Oligodendrocytes4,0.025495747
155,BRC 2613 BRC 2509,AD-CAA,Amyloid,Parenchyma,Oligodendrocytes4,0.033527005
156,BRC 2613 BRC 2509,AD-CAA,Amyloid,Parenchyma,Oligodendrocytes4,0.033711795
157,BRC 2613 BRC 2509,AD-CAA,Amyloid,Parenchyma,Oligodendrocytes4,0.027100487
158,BRC 2613 BRC 2509,AD-CAA,Amyloid,Parenchyma,Oligodendrocytes4,0.021734865
159,BRC 2613 BRC 2509,AD-CAA,Amyloid,Parenchyma,Oligodendrocytes4,0.023480197
160,BRC 2613 BRC 2509,AD-CAA,AmyloidFree,Arteries,Oligodendrocytes4,0.023634879
161,BRC 2613 BRC 2509,AD-CAA,AmyloidFree,Arteries,Oligodendrocytes4,0.022808477
162,BRC 2613 BRC 2509,AD-CAA,AmyloidFree,Arteries,Oligodendrocytes4,0.03587539
163,BRC 2613 BRC 2509,AD-CAA,AmyloidFree,Arteries,Oligodendrocytes4,0.04704338
164,BRC 2613 BRC 2509,AD-CAA,AmyloidFree,Arteries,Oligodendrocytes4,0.03079521
165,BRC 2613 BRC 2509,AD-CAA,AmyloidFree,Parenchyma,Oligodendrocytes4,0.033647683
166,BRC 2613 BRC 2509,AD-CAA,AmyloidFree,Parenchyma,Oligodendrocytes4,0.025227172
167,BRC 2613 BRC 2509,AD-CAA,AmyloidFree,Parenchyma,Oligodendrocytes4,0.033158395
184,BRC 2495 BRC 2052,AD-CAA,Amyloid,Arteries,Oligodendrocytes4,0.023004977
185,BRC 2495 BRC 2052,AD-CAA,Amyloid,Capillaries,Oligodendrocytes4,0.02369298
186,BRC 2495 BRC 2052,AD-CAA,Amyloid,Parenchyma,Oligodendrocytes4,0.0002384717
187,BRC 2495 BRC 2052,AD-CAA,Amyloid,Parenchyma,Oligodendrocytes4,0.028369103
188,BRC 2495 BRC 2052,AD-CAA,Amyloid,Parenchyma,Oligodendrocytes4,0.17698762
189,BRC 2495 BRC 2052,AD-CAA,AmyloidFree,Parenchyma,Oligodendrocytes4,0.024155825
38,BRC 2534 BRC 2732,Control,AmyloidFree,Arteries,Oligodendrocytes4,0.027937252
39,BRC 2534 BRC 2732,Control,AmyloidFree,Arteries,Oligodendrocytes4,0.029847704
40,BRC 2534 BRC 2732,Control,AmyloidFree,Arteries,Oligodendrocytes4,0.018282317
41,BRC 2534 BRC 2732,Control,AmyloidFree,Arteries,Oligodendrocytes4,0.031064162
42,BRC 2534 BRC 2732,Control,AmyloidFree,Arteries,Oligodendrocytes4,0.034599595
43,BRC 2534 BRC 2732,Control,AmyloidFree,Arteries,Oligodendrocytes4,0.032559026
44,BRC 2534 BRC 2732,Control,AmyloidFree,Capillaries,Oligodendrocytes4,0.02280417
45,BRC 2534 BRC 2732,Control,AmyloidFree,Capillaries,Oligodendrocytes4,0.021576032
46,BRC 2534 BRC 2732,Control,AmyloidFree,Capillaries,Oligodendrocytes4,0.02641777
47,BRC 2534 BRC 2732,Control,AmyloidFree,Capillaries,Oligodendrocytes4,0.022616506
48,BRC 2534 BRC 2732,Control,AmyloidFree,Parenchyma,Oligodendrocytes4,0.03265256
49,BRC 2534 BRC 2732,Control,AmyloidFree,Parenchyma,Oligodendrocytes4,0.02560957
50,BRC 2534 BRC 2732,Control,AmyloidFree,Parenchyma,Oligodendrocytes4,0.032829355
51,BRC 2534 BRC 2732,Control,AmyloidFree,Parenchyma,Oligodendrocytes4,0.028723136
52,BRC 2534 BRC 2732,Control,AmyloidFree,Parenchyma,Oligodendrocytes4,0.037039526
53,BRC 2534 BRC 2732,Control,AmyloidFree,Parenchyma,Oligodendrocytes4,0.025100054
54,BRC 2845 BRC 2497,Control,AmyloidFree,Arteries,Oligodendrocytes4,0.024753192
55,BRC 2845 BRC 2497,Control,AmyloidFree,Arteries,Oligodendrocytes4,0.022753961
56,BRC 2845 BRC 2497,Control,AmyloidFree,Arteries,Oligodendrocytes4,0.02596217
57,BRC 2845 BRC 2497,Control,AmyloidFree,Arteries,Oligodendrocytes4,0.026523052
58,BRC 2845 BRC 2497,Control,AmyloidFree,Arteries,Oligodendrocytes4,0.023414409
59,BRC 2845 BRC 2497,Control,AmyloidFree,Capillaries,Oligodendrocytes4,0.024988119
60,BRC 2845 BRC 2497,Control,AmyloidFree,Capillaries,Oligodendrocytes4,0.0244278
61,BRC 2845 BRC 2497,Control,AmyloidFree,Capillaries,Oligodendrocytes4,0.024635565
62,BRC 2845 BRC 2497,Control,AmyloidFree,Capillaries,Oligodendrocytes4,0.022980945
63,BRC 2845 BRC 2497,Control,AmyloidFree,Parenchyma,Oligodendrocytes4,0.0247808
64,BRC 2845 BRC 2497,Control,AmyloidFree,Parenchyma,Oligodendrocytes4,0.0238582
65,BRC 2845 BRC 2497,Control,AmyloidFree,Parenchyma,Oligodendrocytes4,0.024145624
66,BRC 2845 BRC 2497,Control,AmyloidFree,Parenchyma,Oligodendrocytes4,0.02413834
168,BRC 2495 BRC 2052,Control,AmyloidFree,Arteries,Oligodendrocytes4,0.036228795
169,BRC 2495 BRC 2052,Control,AmyloidFree,Arteries,Oligodendrocytes4,0.03021902
170,BRC 2495 BRC 2052,Control,AmyloidFree,Arteries,Oligodendrocytes4,0.034666415
171,BRC 2495 BRC 2052,Control,AmyloidFree,Arteries,Oligodendrocytes4,0.028548706
172,BRC 2495 BRC 2052,Control,AmyloidFree,Arteries,Oligodendrocytes4,0.027629035
173,BRC 2495 BRC 2052,Control,AmyloidFree,Arteries,Oligodendrocytes4,0.046225026
174,BRC 2495 BRC 2052,Control,AmyloidFree,Capillaries,Oligodendrocytes4,0.026617913
175,BRC 2495 BRC 2052,Control,AmyloidFree,Capillaries,Oligodendrocytes4,0.028023921
176,BRC 2495 BRC 2052,Control,AmyloidFree,Capillaries,Oligodendrocytes4,0.028007107
177,BRC 2495 BRC 2052,Control,AmyloidFree,Capillaries,Oligodendrocytes4,0.025921835
178,BRC 2495 BRC 2052,Control,AmyloidFree,Parenchyma,Oligodendrocytes4,0.017876491
